Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-13,Digital Domination Marketing & Software,https://digitaldomination.ai,accounting@digitaldomination.ai,accounting@digitaldomination.ai,valid,,,emailed
2026-08-13,LYFE Marketing,https://www.lyfemarketing.com,info@lyfemarketing.com,info@lyfemarketing.com,valid,404-596-7925,,emailed
2026-08-13,602 Marketing,https://602marketingaz.com,"jane@company.com, 602marketinggroup@gmail.com",602marketinggroup@gmail.com,valid,(218) 850-1115,,emailed
2026-08-13,Angell Marketing,https://www.angellmarketing.com,info@angellmarketing.com,,invalid,,,new
2026-08-13,Marketing LTB -,https://marketingltb.com,info@marketingltb.com,info@marketingltb.com,catch_all,,,emailed
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,Get Visible - Digital Marketing Agency,https://www.getvisible.com,john@doe.com,john@doe.com,catch_all,,,emailed
2026-08-13,NEWMEDIA.COM,https://newmedia.com,"support@newmedia.com, hello@newmedia.com","support@newmedia.com, hello@newmedia.com",catch_all,(212) 220-6200,,emailed
2026-08-13,"Voted Best Phoenix Web Designers, Arizona Advertising Agency, Graphic Designer, Web Developers, Branding and Marketing Firms in Phoenix AZ",https://ave25.com,"info@ave25.com, hello@ave25.com, social@ave25.com","info@ave25.com, hello@ave25.com, social@ave25.com",valid,(602) 864-1233,,emailed
2026-08-13,Frack Technologies,https://fracktechnologies.com,info@fracktechnologies.com,,invalid,329 5423,,new
2026-08-13,Titanmind,https://titanmindhq.com,john.doe@gmail.com,,invalid,,,new
2026-08-13,Home,https://dovemountainmarketing.com,inquires@dovemountainmarketing.com,,invalid,,,new
2026-08-13,GrowthX247,https://growthx247.com,support@growthx247.com,,invalid,,,new
2026-08-13,Helena - The last marketing hire you'll ever make.,https://www.enrichlabs.ai,"support@enrichlabs.ai, john@company.com, sam@enrichlabs.ai, admin@enrichlabs.ai","support@enrichlabs.ai, admin@enrichlabs.ai",valid,,,emailed
2026-08-13,Your Creative Services Team Led By Creative Directors - Designity,https://www.designity.com,support@designity.com,support@designity.com,valid,+1 (917) 634-3407,,emailed
2026-08-13,OnBaze,https://onbaze.com,company@onbaze.com,,invalid,+1 (858) 397-9792,,new
2026-08-13,Webxtalk Pvt. Ltd.,https://webxtalk.com,"mandy@webxtalk.in, sales@webxtalk.com, info@webxtalk.com, hr@webxtalk.com, info@wextalk.com",,unverified,661 4147,,new
2026-08-13,Viking Digital Marketing Tempe | Call 888-231-4191,https://vikingdigitalmarketing.com,sales@vikingdigitalmarketing.com,,unverified,(888) 231-4191,,new
2026-08-13,Sermondo,https://sermondo.com,support@sermondo.com,support@sermondo.com,catch_all,,,emailed
2026-08-13,Contractors Digital Marketing Nationwide Advertisment,https://contractorsdigitalmarketing.com,contratorsmarketing@yahoo.com,,unverified,,,new
2026-08-13,AdLift,https://www.adlift.com,"john@company.com, abcd@adlift.com, u003eabc@email.com, hello@adlift.com, jane@company.com, finance@aureliawellness.com, vendors@emberearth.in, payables@solsticelife.co.in, ap.team@harborline.in, accounts@northbridge.com, u003eaccounts@northbridge.com, accounts@meridianfashion.com, finance@verdantskin.in",,unverified,,,new
