Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-11,Adelaide Web Design Agency,https://adelaidewebdesignagency.com.au,"marketing@adelaideseomarketing.com.au, hello@adlwda.com.au",,invalid,,,new
2026-09-11,Adelaide Web Designer,https://adelaidewebdesigner.com.au,info@adelaidewebdesigner.com.au,info@adelaidewebdesigner.com.au,valid,,,new
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-09-11,Argon,https://argon.com.au,"support@argon.com.au, info@argon.com.au","support@argon.com.au, info@argon.com.au",valid,223 3099,,new
2026-08-16,Conquerra Digital,https://conquerradigital.com.au,"webdev1298@gmail.com, hello@conquerradigital.com.au, contact@conquerradigital.com.au","webdev1298@gmail.com, hello@conquerradigital.com.au, contact@conquerradigital.com.au",valid,,,emailed
2026-08-14,Web Designers Australia,https://webdesignersaustralia.com.au,"info@webdesignersaustralia.com.au, info@ennovativewebdesign.com.au",info@ennovativewebdesign.com.au,valid,,,emailed
2026-08-20,Clever Aussie,https://www.cleveraussie.com,support@cleveraussie.com,support@cleveraussie.com,catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-11,Web Design Adelaide,https://www.webdesignadelaide.com.au,hello@webdesignadelaide.com.au,,unverified,,,new
2026-08-14,White Peak Digital,https://www.whitepeakdigital.com,"careers@whitepeakdigital.com, contact@whitepeakdigital.com","careers@whitepeakdigital.com, contact@whitepeakdigital.com",valid,,,emailed
