Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-20,"DesignDrizzle | Free Resources for Web Designers, Developers & Freelancers |",https://designdrizzle.com,advert@designdrizzle.com,advert@designdrizzle.com,valid,,,new
2026-08-14,Fabric,https://fabricdigital.co.nz,growth@fabricdigital.co.nz,,invalid,,,new
2026-08-20,Kiwi Website Design (KWD),https://kiwiwebsitedesign.nz,hello@kwd.co.nz,,unverified,930 5925,,new
2026-08-20,Pryce Digital,https://prycedigital.com,"studio@prycedigital.com, hello@you.com",hello@you.com,catch_all,,,new
2026-08-20,The Web Guys,https://thewebguys.co.nz,hello@thewebguys.co.nz,,unverified,390 8909,,new
2026-08-20,Web Design Auckland | Top Web Design Company in Auckland.,https://webdesignauckland.co,amg@webdesignauckland.co,,unverified,817-9717,,new
2026-08-20,White Rabbit,https://whiterabbit.nz,"hello@whiterabbit.nz, contact@whiterabbit.nz",,unverified,,,new
2026-08-20,"Catch Design | Digital Agency in Auckland & Wellington, NZ",https://www.catchdesign.co.nz,hello@catchdesign.co.nz,,unverified,390 2637,,new
2026-08-20,Kiwi Web Design,https://www.kiwiwebdesign.co.nz,"you@yourbusiness.co.nz, hi@kiwiwebdesign.co.nz",,unverified,,,new
2026-08-20,"Professional Logo Design Service in Auckland, New Zealand",https://www.logodesignnz.co.nz,info@logodesignnz.co.nz,,invalid,977 9909,,new
2026-08-14,Lucid Media,https://www.lucidmedia.co.nz,"info@lucidmedia.co.nz, john@company.com",info@lucidmedia.co.nz,valid,582 4369,,emailed
