Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,Ainsley & Co.,https://ainsleyagency.com,connect@ainsleyagency.com,connect@ainsleyagency.com,catch_all,410.317.8388,,new
2026-08-13,Dental Master Media,https://dentalmastermedia.com,"you@company.com, you@practice.com, contact@dentalmastermedia.com",contact@dentalmastermedia.com,valid,770 5464,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Gambix,https://gambix.io,info@gambix.io,,invalid,(301) 701-2233,,new
2026-08-13,Klik digital agency,https://klikdigital.co,info@klikdigital.co,,invalid,+1 (443) 280-6305,,new
2026-08-13,"Norobots - Verified people, real portfolios, and trustworthy reviews.",https://norobots.co,your@email.com,,unverified,,,new
2026-08-13,NUOPTIMA,https://nuoptima.com,"jane@yourmsp.com, goce@nuoptima.com",goce@nuoptima.com,valid,4407366,,emailed
2026-08-13,Perceptric | B2B SaaS SEO Agency,https://perceptric.com,"admin@perceptric.com, vincent@perceptric.com",,invalid,,,new
2026-08-13,Scottmax.com,https://scottmax.com,partners@scottmax.com,partners@scottmax.com,valid,,,emailed
2026-08-13,Toimi,https://toimi.pro,"sale@toimi.pro, info@toimi.pro, vacancy@toimi.pro","sale@toimi.pro, info@toimi.pro, vacancy@toimi.pro",catch_all,,,new
2026-08-13,Find the Perfect IT Partners & Software Products for your Next Project,https://upvotes.co,"support@upvotes.co, contact@upvotes.co",contact@upvotes.co,valid,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-13,White Peak Marketing,https://whitepeak.io,"growth@whitepeak.io, tim@whitepeak.io","growth@whitepeak.io, tim@whitepeak.io",catch_all,(775) 451-3259,,new
2026-08-13,ApparelnBags.com,https://www.apparelnbags.com,sales@apparelnbags.com,,unverified,8133441336,,new
2026-08-13,Benchmak - The Leading Marketplace for Finding Business Services - Benchmak.com,https://www.benchmak.com,marketing@benchmak.com,,invalid,,,new
2026-08-13,Framer,https://www.framer.com,"abuse@framer.com, support@framer.com","abuse@framer.com, support@framer.com",valid,,,new
2026-08-13,GraphicDigits,https://www.graphicdigits.com,"hello@graphicdigits.com, john@company.com",,unverified,,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-13,Duckpin,https://www.rollwithduckpin.com,hello@rollwithduckpin.com,hello@rollwithduckpin.com,valid,(443) 478-3311,,new
2026-08-13,SEOTakeoff,https://www.seotakeoff.com,graham@seotakeoff.com,,unverified,,,new
2026-08-13,Strottner Designs,https://www.strottner.com,support@strottner.com,,invalid,(210) 588-9602,,new
