Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-17,3SIXTY Marketing Solutions,https://3sixtymarketingsolutions.com,info@3sixtymarketingsolutions.com,,invalid,705-252-4180,,new
2026-08-17,Admiral Creative,https://admiralcreative.ca,info@admiralcreative.ca,info@admiralcreative.ca,valid,1 (866) 312 9692,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-17,Canada Web Pro | Professional Web Design Across Canada,https://canadawebpro.ca,info@canadawebpro.ca,,invalid,,,new
2026-08-13,Canadian Web Agencies,https://canadianwebagencies.com,recommendations@canadianwebagencies.com,,unverified,,,new
2026-08-17,CyberVision Media Inc |,https://cybervisionmedia.com,"john@yourcompany.com, info@cybervisionmedia.com",,unverified,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-17,Fifth & Missing Design Group,https://fifthandmissing.com,"name@company.com, jason@fifthandmissing.com, info@fifthandmissing.com",,unverified,+1.705.726.0990,,new
2026-08-17,goodermarketing.com,https://goodermarketing.com,info@goodermarketing.com,info@goodermarketing.com,catch_all,(705) 229-2571,,new
2026-08-17,The Ian Scott Group,https://ianscottgroup.com,info@ianscottgroup.com,,invalid,(519) 940-3504,,new
2026-08-14,Magenta Design,https://magentadesign.ca,hello@magentadesign.ca,,invalid,905-882-3145,,new
2026-08-17,"Barrie Website Design, Marketing SEO | Spectrum Web Solutions",https://spectrumwebsolutions.ca,spectrum@spectrumwebsolutions.ca,,unverified,416 423 5173,,new
2026-08-13,"Finding the best business, It's that easy - ThreeBestRated.ca",https://threebestrated.ca,"support@threebestrated.ca, press@threebestrated.com, reviews@threebestrated.ca","support@threebestrated.ca, reviews@threebestrated.ca, press@threebestrated.com",valid,,,emailed
2026-08-17,TNG Web Design,https://tngwebdesign.ca,"tngwebdesign@icloud.com, info@yourcompany.ca, john@doe.com",john@doe.com,catch_all,,,new
2026-08-13,TML Agency,https://townmedialabs.ca,"you@company.com, hello@townmedialabs.ca, info@townmedialabs.ca",,unverified,+1 (403) 604-8692,,new
2026-08-17,True North Web Design,https://truenorthwebdesign.ca,info@truenorthwebdesign.ca,,unverified,416-797-3407,,new
2026-08-17,Whetham Solutions,https://whethamsolutions.com,"jeff-walters@m.webp, prime-pools@m.webp, timber-pro@m.webp, sales@whethamsolutions.com, united-lumber@m.webp, k9-dynamics@m.webp",sales@whethamsolutions.com,valid,705-812-6288,,new
2026-08-17,Ace Websites,https://www.acewebsites.ca,info@acewebsites.ca,,invalid,1-705-302-0093,,new
2026-08-17,"Homepage - C3 Services - #1 Premium Web Design, SEO & Digital Solutions Barrie",https://www.c3services.ca,"c3services@protonmail.com, support@c3services.ca",c3services@protonmail.com,valid,+1(705)503-9142,,new
2026-08-17,Barrie Web Design - OMIS.ca,https://www.omis.ca,info@omis.ca,,unverified,705-721-9670,,new
2026-08-17,Stunning Digital,https://www.stunningdigital.ca,info@stunningdigital.ca,,invalid,,,new
