Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-16,Nettl of Birmingham,https://birmingham.nettl.com,birmingham@nettl.com,birmingham@nettl.com,valid,312 1499,,new
2026-09-16,Class,https://class.agency,hello@class.agency,hello@class.agency,valid,838 5323,,new
2026-09-16,KIJO,https://kijo.co.uk,"hello@kijo.london, hello@kijo.agency","hello@kijo.london, hello@kijo.agency",valid,663 0523,,new
2026-08-15,Application & Software Development Company – Limeup,https://limeup.io,hello@limeup.io,hello@limeup.io,catch_all,807 8245,,emailed
2026-09-16,MEDIAMAKS UK,https://mediamaks.com,info@mediamaks.com,,invalid,752 7143,,new
2026-09-16,Opace Digital Agency,https://opace.agency,info@opace.co.uk,,unverified,468 0600,,new
2026-09-16,Smart Web Design Agency,https://smartwebdesignagency.com,"hello@swd-agency.com, rajabali@e4k.co","hello@swd-agency.com, rajabali@e4k.co",valid,818 271 8368,,new
2026-09-16,ALT Agency –,https://www.altagency.co.uk,hello@altagency.co.uk,hello@altagency.co.uk,valid,663 0202,,new
2026-09-16,Blue Whale Media Ltd,https://www.bluewhalemedia.co.uk,"hello@bluewhalemedia.co.uk, asset-3@3x-8.webp, asset-3@3x-8-300x77.webp, hello@mutatio.agency, asset-3@3x-8-1024x262.webp, asset-3@3x-8-768x197.webp","hello@bluewhalemedia.co.uk, hello@mutatio.agency",valid,333 2101,,new
2026-08-21,Chameleon Web Services ® | Web Design & Digital Marketing Agency,https://www.chameleon.co.uk,"u003ehello@chameleon.co.uk, hello@chameleon.co.uk",hello@chameleon.co.uk,valid,663 0456,,emailed
2026-09-16,"Digital Marketing Agency Birmingham | Branding, SEO & PPC | CI",https://www.creativeideaz.co.uk,contact@creativeideaz.co.uk,contact@creativeideaz.co.uk,valid,285 0714,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-16,Fallen Leaf Web Design,https://www.fallenleafwebdesign.co.uk,hello@fallenleafwebdesign.co.uk,hello@fallenleafwebdesign.co.uk,valid,484 8174,,new
2026-09-16,sitename,https://www.htdl.co.uk,post@htdl.co.uk,post@htdl.co.uk,valid,564 7974,,new
2026-09-16,IIH GLOBAL,https://www.iihglobal.com,info@iihglobal.com,info@iihglobal.com,catch_all,+1 518-855-7584,,new
2026-09-16,Web Design Birmingham | Website Builders & Designers,https://www.koenigwebdesign.com,info@koenigwebdesign.com,info@koenigwebdesign.com,valid,259 0154,,new
2026-09-16,Republic Marketing,https://www.republicmarketing.co.uk,hello@republicmarketing.co.uk,hello@republicmarketing.co.uk,valid,208 243 4550,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
