Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-09-05,B DESIGN GmbH,https://bdesign.de,info@bdesign.de,,unverified,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Feedbax: Die beste Agentur suchen & finden,https://feedbax.de,"info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de","info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de",valid,,,emailed
2026-09-05,Ikaroa | We Create Stars,https://ikaroa.com,"alex@company.com, hello@ikaroa.com",,unverified,,,new
2026-08-13,Rentech Digital,https://rentechdigital.com,"hdhameliya9925@gmail.com, team@rentechdigital.com, payments@rentechdigital.com","hdhameliya9925@gmail.com, team@rentechdigital.com, payments@rentechdigital.com",valid,+1(760)389-9794,,emailed
2026-08-14,Trustlocal | Finden Sie die besten Dienstleister,https://trustlocal.de,"kundendienst@trustlocal.de, name@beispiel.de, klantenservice@trustoo.nl, info@trustlocal.de","kundendienst@trustlocal.de, info@trustlocal.de, klantenservice@trustoo.nl",catch_all,,,emailed
2026-08-22,Webdelo,https://webdelo.de,"legal@webdelo.de, sales@webdelo.de, accounting@webdelo.de, hr@webdelo.de, support@webdelo.de, info@webdelo.de, info@webdelo.com, info@webdelo.md",,unverified,433 3803034,,new
2026-09-05,Deine Werbeagentur aus Bochum – BECKDESIGN,https://www.beckdesign.de,"mail@beckdesign.de, jobs@beckdesign.de",,unverified,234 9364,,new
2026-08-22,Private markets made visible | Inven,https://www.inven.ai,email@company.com,,unverified,,,new
2026-08-24,Schwarz+Matt,https://www.schwarz-matt.com,"koeln@schwarz-matt.com, andre.schirmer@schwarz-matt.com, info@schwarz-matt.com, dortmund@schwarz-matt.com, muenster@schwarz-matt.com",,invalid,231 1772,,new
2026-08-13,Semrush,https://www.semrush.com,mail@semrush.com,,invalid,,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
