Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-17,Creatif Agency,https://creatif.agency,contact@creatif.agency,contact@creatif.agency,valid,,,emailed
2026-08-13,Enests,https://enests.co,info@enests.co,,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Feedbax: Die beste Agentur suchen & finden,https://feedbax.de,"info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de","info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de",valid,,,emailed
2026-09-09,ICLEI,https://iclei.org,iclei@iclei.org,iclei@iclei.org,valid,202 0381,,new
2026-09-05,Ikaroa | We Create Stars,https://ikaroa.com,"alex@company.com, hello@ikaroa.com",,unverified,,,new
2026-09-03,Stevie Awards,https://mobile.stevieawards.com,"help+conference@stevieawards.com, help+awards@stevieawards.com, help+payments@stevieawards.com, help+store@stevieawards.com, help+asia@stevieawards.com, help+europe@stevieawards.com, cindy.chou@oneshottw.com, awards@kuzeygelisim.com, michael@stevieawards.com, info@businessawardsconsulting.com, sara@geisermaclang.com, judging@stevieawards.com, drraginipathak@gmail.com, hugh@monbro.com, issei@stevieawards.com, europe@stevieawards.com, help+mena@stevieawards.com, admin@theaudaciousagency.com, help@stevieawards.com, vietnam@stevieawards.com, stellawong@brandsoul.com.my, admin@awardwinningaccelerator.com, may@stevieawards.com, baeseogbong@gmail.com","help+conference@stevieawards.com, help+awards@stevieawards.com, help+payments@stevieawards.com, help+store@stevieawards.com, help+asia@stevieawards.com, help+europe@stevieawards.com, michael@stevieawards.com, judging@stevieawards.com, issei@stevieawards.com, europe@stevieawards.com, help+mena@stevieawards.com, help@stevieawards.com, vietnam@stevieawards.com, may@stevieawards.com, cindy.chou@oneshottw.com, awards@kuzeygelisim.com, sara@geisermaclang.com, drraginipathak@gmail.com, baeseogbong@gmail.com, hugh@monbro.com, admin@theaudaciousagency.com, stellawong@brandsoul.com.my",valid,,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-14,Trustlocal | Finden Sie die besten Dienstleister,https://trustlocal.de,"kundendienst@trustlocal.de, name@beispiel.de, klantenservice@trustoo.nl, info@trustlocal.de","kundendienst@trustlocal.de, info@trustlocal.de, klantenservice@trustoo.nl",catch_all,,,emailed
2026-09-09,United Nations Regional Information Centre,https://unric.org,info@unric.org,info@unric.org,valid,,,new
2026-08-22,Webdelo,https://webdelo.de,"legal@webdelo.de, sales@webdelo.de, accounting@webdelo.de, hr@webdelo.de, support@webdelo.de, info@webdelo.de, info@webdelo.com, info@webdelo.md",,unverified,433 3803034,,new
2026-08-13,10SEOS,https://www.10seos.com,info@10seos.com,info@10seos.com,catch_all,,,emailed
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-09-09,Technoarch Softwares,https://www.technoarchsoftwares.com,sales@technoarchsoftwares.com,,unverified,,,new
2026-08-26,Webnity X - Premium Framer Websites fÃ¼r messbares Wachstum,https://www.webnity-x.com,"info@webnity-x.com, max.mustermann@gmail.com",info@webnity-x.com,catch_all,,,new
