Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-09-10,Built By Buffalo | Award Winning Web Design & Creative Agency,https://builtbybuffalo.com,hello@builtbybuffalo.com,hello@builtbybuffalo.com,valid,6048231,,new
2026-09-10,Charity Web Design & Branding Agency | Design Kind,https://designkind.org,hello@designkind.org,,unverified,273 0195,,new
2026-08-30,"Broadband, Home VoIP, Free Email, Web Hosting and Domains | Freeola",https://freeola.com,2a0e6f82eb8f46caa125cd68ecf0c94c@sentry.freeola.systems,,unverified,,,new
2026-09-01,Grumspot: Shopify Agency | Shopify Optimization Services,https://grumspot.com,"hello@grumspot.com, business@grumspot.com","hello@grumspot.com, business@grumspot.com",catch_all,,,new
2026-08-21,Loose Connections | Digital Marketing Made Simple,https://looseconnections.uk,"info@looseconnections.uk, hello@csgroup.co.uk",,invalid,202 0281,,new
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,emailed
2026-08-14,UKAgencies.co.uk,https://ukagencies.co.uk,hello@ukagencies.co.uk,,invalid,,,new
2026-08-21,Full-Cycle Design & Development Company - Dreamx,https://www.dreamxweb.com,sale@dreamxweb.com,sale@dreamxweb.com,catch_all,,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-09-10,Tidy Design,https://www.tidydesign.com,sales@tidydesign.com,,unverified,286 1839,,new
2026-08-15,WebUp® Media,https://www.webup.co.uk,hello@webup.co.uk,hello@webup.co.uk,valid,800 246 1142,,emailed
