Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-03,Bristol Website Design Ltd,https://bristol-website-design.co.uk,info@bristol-website-design.co.uk,,unverified,823 5867,,new
2026-08-17,Bristol Marketing Company,https://bristolmarketingcompany.co.uk,"info@swindonmarketingcompany.co.uk, info@bristolmarketingcompany.co.uk, info@surreymarketingcompany.co.uk, info@londonmarketingcompany.co.uk, info@oxfordmarketingcompany.co.uk, info@readingmarketingcompany.co.uk, info@manchestermarketingcompany.co.uk","info@swindonmarketingcompany.co.uk, info@bristolmarketingcompany.co.uk, info@surreymarketingcompany.co.uk, info@londonmarketingcompany.co.uk, info@oxfordmarketingcompany.co.uk, info@readingmarketingcompany.co.uk",catch_all,369 5050,,emailed
2026-09-03,Creative Lives In Progress,https://creativelivesinprogress.com,"community@creativelivesinprogress.com, alfred@creativelivesinprogress.com, jessica@creativelivesinprogress.com, events@creativelivesinprogress.com, indi@creativelivesinprogress.com, zak@creativelivesinprogress.com, alex@creativelivesinprogress.com, content@creativelivesinprogress.com","community@creativelivesinprogress.com, alfred@creativelivesinprogress.com, jessica@creativelivesinprogress.com, events@creativelivesinprogress.com, indi@creativelivesinprogress.com, zak@creativelivesinprogress.com, alex@creativelivesinprogress.com, content@creativelivesinprogress.com",valid,,,new
2026-08-19,Direct First Web Design,https://direct-1st.com,info@direct-1st.com,,unverified,"754 833 
 0800",,new
2026-08-30,"Broadband, Home VoIP, Free Email, Web Hosting and Domains | Freeola",https://freeola.com,2a0e6f82eb8f46caa125cd68ecf0c94c@sentry.freeola.systems,,unverified,,,new
2026-09-03,Unfold,https://madebyunfold.co,hello@madebyunfold.co,hello@madebyunfold.co,catch_all,,,new
2026-08-17,@noblestudios,https://noblestudios.com,inquiries@noblestudios.com,inquiries@noblestudios.com,valid,,,emailed
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,emailed
2026-09-03,Peak,https://peak.agency,"info@nebula.design, info@peak.agency",info@nebula.design,valid,,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-09-15,Rhombus Studio,https://rhombus.studio,hello@rhombus.studio,hello@rhombus.studio,catch_all,,,new
2026-08-14,UKAgencies.co.uk,https://ukagencies.co.uk,hello@ukagencies.co.uk,,invalid,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-17,Web Design Exeter | Dartmoor & South Devon | World X Digital,https://worldxdigital.co.uk,"worldxdigitalweb@gmail.com, info@worldxdigital.co.uk","worldxdigitalweb@gmail.com, info@worldxdigital.co.uk",valid,0742959105,,emailed
2026-09-15,Clifton Web Design,https://www.cliftonwebdesign.co.uk,"enquiry@cliftonwebdesign.co.uk, hello@cliftonwebdesign.co.uk","enquiry@cliftonwebdesign.co.uk, hello@cliftonwebdesign.co.uk",catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-03,isimplydesign.co | Squarespace Web Designer Bristol,https://www.isimplydesign.co,"isimplydesign20@gmail.com, hello@isimplydesign.com, user@domain.com","isimplydesign20@gmail.com, hello@isimplydesign.com, user@domain.com",valid,,,new
2026-08-17,Mediatopia,https://www.mediatopia.co.uk,"jane@company.co.uk, hello@mediatopia.co.uk",,unverified,299 0348,,new
2026-08-17,Digital Agency in Bristol - Umbraco Gold Partner | Mentor Digital,https://www.mentordigital.co.uk,info@mentordigital.co.uk,info@mentordigital.co.uk,valid,305 8900,,emailed
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-09-01,"We grow healthy brands through clear strategic thinking, stand-out branding, packaging design, and effective advertising campaigns.",https://www.thespacecreative.com,"jo@thespacecreative.com, user@domain.com, david@thespacecreative.com","jo@thespacecreative.com, david@thespacecreative.com, user@domain.com",valid,768 2203,,new
2026-09-03,Web Design Bristol | Web Development Bristol,https://www.websitesorted.com,info@websitesorted.com,,unverified,,,new
