Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-21,FLOCC | Digital Agency For High Growth Brands in Cambridge,https://flocc.agency,hello@flocc.agency,,invalid,,,new
2026-08-21,AETHUS,https://www.aethus.co.uk,hello@aethus.co.uk,hello@aethus.co.uk,catch_all,,,new
2026-08-21,Marketing Agency Cambridge | Branding & Design Agency Cambridge | Big Bear Marketing,https://www.bigbearcreative.co.uk,hello@bigbearcreative.co.uk,hello@bigbearcreative.co.uk,valid,223 7760,,new
2026-08-21,WordPress Web Design Agency | Douglass Digital,https://www.douglassdigital.com,hello@douglassdigital.com,hello@douglassdigital.com,valid,,,new
2026-08-21,Full-Cycle Design & Development Company - Dreamx,https://www.dreamxweb.com,sale@dreamxweb.com,sale@dreamxweb.com,catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,new
2026-08-15,WebUp® Media,https://www.webup.co.uk,hello@webup.co.uk,hello@webup.co.uk,valid,800 246 1142,,new
