Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-18,DesignLoud,https://designloud.com,contact@designloud.com,contact@designloud.com,catch_all,910-302-3286,,new
2026-08-17,Digital Marketing Charlotte,https://digitalclt.com,grow@digitalclt.com,grow@digitalclt.com,catch_all,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,OnBaze,https://onbaze.com,company@onbaze.com,,invalid,+1 (858) 397-9792,,new
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,new
2026-08-18,onewebcare.com,https://onewebcare.com,inquiry@onewebcare.com,inquiry@onewebcare.com,catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-18,Next Wave Services,https://www.nextwaveservices.com,mahalo@nextwaveservices.com,mahalo@nextwaveservices.com,catch_all,(888) 827-9638,,new
2026-08-18,"Social Design House | Charlotte's Leading Brand, Web and Digital Marketing Agency",https://www.socialdesignhouse.com,info@socialdesignhouse.com,info@socialdesignhouse.com,catch_all,(866) 264-0643,,new
2026-08-16,ZipDo,https://zipdo.co,info@zipdo.co,info@zipdo.co,catch_all,,,new
