Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-29,1Brand Design,https://1brand.design,info@1brand.design,info@1brand.design,catch_all,(773) 680-4999,,new
2026-09-03,"Chicago Web Design, Development, & Digital Marketing Agency | Clique Studios",https://cliquestudios.com,buildsomething@cliquestudios.com,buildsomething@cliquestudios.com,catch_all,312-379-9329,,new
2026-09-03,Good Design Awards,https://gooddesignawards.org,jennifer@chicagoathenaeum.org,jennifer@chicagoathenaeum.org,valid,+1 815 777 4444,,new
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-13,Evoke Studio,https://madebyevoke.com,"you@company.com, work@madebyevoke.com",,unverified,,,new
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,emailed
2026-08-29,10com,https://www.10comwebdevelopment.com,"info@10comwebdevelopment.com, sales@10comwebdevelopment.com, partners@10comwebdevelopment.com, billing.payments@10comwebdevelopment.com","info@10comwebdevelopment.com, sales@10comwebdevelopment.com, partners@10comwebdevelopment.com, billing.payments@10comwebdevelopment.com",catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-29,Flamingo Agency,https://www.flamingoagency.com,info@flamingoagency.com,info@flamingoagency.com,catch_all,312-967-7044,,new
2026-08-29,One Design Company,https://www.onedesigncompany.com,"your@email.com, info@onedesigncompany.com",info@onedesigncompany.com,valid,312 602 3335,,new
2026-08-29,Simpalm: Award Winning Digital Product Development Company,https://www.simpalm.com,contact@simpalm.com,contact@simpalm.com,catch_all,(301) 541-3076,,new
