Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-14,7BE,https://7be.io,"info@7be.io, you@company.com",info@7be.io,catch_all,,,emailed
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-08-26,byoand.com,https://byoand.com,hey@byoand.com,,unverified,3682106,,new
2026-08-13,Enests,https://enests.co,info@enests.co,,invalid,,,new
2026-08-26,YandaZ,https://explodingbrands.de,support@yandaz.com,,unverified,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Feedbax: Die beste Agentur suchen & finden,https://feedbax.de,"info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de","info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de",valid,,,emailed
2026-08-26,FEWTURE®,https://fewture.de,office@fewture.de,,unverified,221 2924642,,new
2026-08-13,Intently.co - Request any service anywhere,https://intently.co,"info@fencrgatr.com.au, lindyels44@gmail.com, support@intently.co, darinaderzkaya@gmail.com","info@fencrgatr.com.au, lindyels44@gmail.com, darinaderzkaya@gmail.com",valid,877 815-7421,,emailed
2026-08-26,keyperformance,https://keyperformance.de,"anonymous@keyperformance.de, hallo@keyperformance.de, 4214983ff57055e852e9fdb5f1ddf38b4224cdbf8800941c899cd9dee85d48d9webdev@keyperformance.de",,unverified,,,new
2026-08-13,Konigle,https://konigle.com,support@konigle.com,support@konigle.com,catch_all,2018153,,emailed
2026-08-15,Listaaj,https://listaaj.com,"info@listaaj.com, your@email.com",,unverified,,,new
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,new
2026-08-15,Logieagle,https://logieagle.com,contact@logieagle.com,,invalid,799 7518,,new
2026-08-25,Pechschwarz,https://pechschwarz.com,hello@pechschwarz.com,hello@pechschwarz.com,valid,4920225,,new
2026-08-14,Finden Sie die besten Unternehmen in Deutschland - ThreeBestRated.de,https://threebestrated.de,"reviews@threebestrated.de, press@threebestrated.com, support@threebestrated.de","reviews@threebestrated.de, support@threebestrated.de, press@threebestrated.com",valid,,,emailed
2026-08-26,Tkist,https://tkist.com,"jane@company.com, hello@tkist.com",,unverified,,,new
2026-08-26,"Webdesign Agentur Berlin, Web Development Agentur Deutschland – Webdesign Agentur Berlin, Web Development Agentur Deutschland",https://webdesign-webseitenerstellung-webentwicklung.de,info@onmascout.de,info@onmascout.de,valid,231 9595990,,new
2026-08-26,webdesign.koeln,https://webdesign.koeln,kontakt@webdesign.koeln,,invalid,221 6777,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-14,Agenturtipp.de,https://www.agenturtipp.de,info@agenturtipp.de,,unverified,3830386,,new
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-08-26,EXWE Individualsoftware,https://www.exwe.de,info@exwe.de,info@exwe.de,valid,231 9314982,,new
2026-08-26,Kölner Branchen,https://www.koelnerbranchen.de,info@koelnerbranchen.de,info@koelnerbranchen.de,catch_all,,,new
2026-08-26,Listando,https://www.listando.com,kontakt@listando.de,kontakt@listando.de,catch_all,,,new
2026-08-26,milkycode GmbH,https://www.milkycode.com,"hallo@milkycode.com, hello@milkycode.com",,invalid,221 6696404,,new
2026-08-26,new media labs,https://www.newmedialabs.de,kontakt@newmedialabs.de,kontakt@newmedialabs.de,valid,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-13,Orxaro,https://www.orxaro.com,hello@orxaro.com,,invalid,+1 (888) 555-0142,,new
2026-08-17,p2 media,https://www.p2media.de,kontakt@p2media.de,,unverified,3331321,,new
2026-08-26,"ð¤ KI-Automatisierung, SEO & Webseiten fÃ¼r den Mittelstand",https://www.pragma-code.de,"info@pragma-code.de, ihre@email.de",,unverified,,,new
2026-08-24,Schwarz+Matt,https://www.schwarz-matt.com,"koeln@schwarz-matt.com, andre.schirmer@schwarz-matt.com, info@schwarz-matt.com, dortmund@schwarz-matt.com, muenster@schwarz-matt.com",,invalid,231 1772,,new
2026-08-26,schwarzdesign,https://www.schwarzdesign.de,info@schwarzdesign.de,info@schwarzdesign.de,valid,,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-08-17,Basal Labs,https://www.thebasallabs.com,"info@thebasallabs.com, your@email.com",info@thebasallabs.com,catch_all,,,new
2026-08-26,Webnity X - Premium Framer Websites fÃ¼r messbares Wachstum,https://www.webnity-x.com,"info@webnity-x.com, max.mustermann@gmail.com",info@webnity-x.com,catch_all,,,new
