Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-15,American Design Agency LLC,https://americandesignagencyllc.com,info@americandesignagencyllc.com,,unverified,478-216-2679,,new
2026-08-15,kategos,https://arryn.ai,hello@kategos.ai,hello@kategos.ai,valid,(844) 907-2024,,new
2026-08-15,"Baytech Companies, LLC",https://baytechcompanies.com,"info@xtrabusiness.co, info@baytechcompanies.com",,unverified,888-374-0555,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-15,ForeFront Web,https://forefrontweb.com,"info@forefrontweb.com, howdy@forefrontweb.com","info@forefrontweb.com, howdy@forefrontweb.com",catch_all,614.886.4000,,new
2026-08-15,Alex Kuznetsof - Wordpress Designer & Developer,https://kuznetsof.com,hello@kuznetsof.com,hello@kuznetsof.com,catch_all,773-336-2777,,new
2026-08-13,Marketing LTB -,https://marketingltb.com,info@marketingltb.com,info@marketingltb.com,catch_all,,,emailed
2026-08-14,Digital Storytelling & 3D Website Design Agency | Noomo,https://noomoagency.com,hello@noomoagency.com,hello@noomoagency.com,catch_all,,,new
2026-08-13,NUOPTIMA,https://nuoptima.com,"jane@yourmsp.com, goce@nuoptima.com",goce@nuoptima.com,valid,4407366,,emailed
2026-08-13,OnBaze,https://onbaze.com,company@onbaze.com,,invalid,+1 (858) 397-9792,,new
2026-08-13,Scottmax.com,https://scottmax.com,partners@scottmax.com,partners@scottmax.com,valid,,,emailed
2026-08-15,SEO Pro Freelancer,https://seoprofreelancer.com,harris@seoprofreelancer.com,,unverified,308 398-1183,,new
2026-08-15,Social Firm,https://socialfirm.com,"hosting@thesocialfirm.com, hello@thesocialfirm.com","hosting@thesocialfirm.com, hello@thesocialfirm.com",catch_all,(614) 285-6288,,new
2026-08-13,"Finding the best business, it is easy as pie - ThreeBestRated.com",https://threebestrated.com,"support@threebestrated.com, press@threebestrated.com, reviews@threebestrated.com",,invalid,,,new
2026-08-15,"Uplancer Agency - Digital Common Sense - Smart, Simple, and Scalable Marketing, Websites, & Apps",https://uplancer.agency,contact@uplancer.agency,contact@uplancer.agency,valid,(614) 980-0015,,new
2026-08-13,Amlan Maiti - AI Digital Marketing & SEO Expert Consultant,https://www.amlanmaiti.co.in,amlan@digitalpiloto.com,amlan@digitalpiloto.com,catch_all,326 9794,,emailed
2026-08-15,Emerald Creative Content,https://www.emeraldcontent.com,"amanda@emeraldcontent.com, user@domain.com","amanda@emeraldcontent.com, user@domain.com",valid,(419) 202-3594,,new
2026-08-13,Framer,https://www.framer.com,"abuse@framer.com, support@framer.com","abuse@framer.com, support@framer.com",valid,,,new
2026-08-15,FYVE Marketing,https://www.fyvemarketing.com,caitlin@fyvemarketing.com,caitlin@fyvemarketing.com,catch_all,614-362-4480,,new
2026-08-15,Helbling Digital Media,https://www.hdmcincy.com,hello@hdmcincy.com,hello@hdmcincy.com,catch_all,(513) 668-7344,,new
2026-08-15,image-by-design,https://www.imagebydesign.net,office@imagebydesign.net,office@imagebydesign.net,valid,706.322.1007,,new
2026-08-15,Janszen Media,https://www.janszenmedia.com,info@janszenmedia.com,info@janszenmedia.com,valid,(614) 905-7000,,new
2026-08-15,Marcy Design Group,https://www.marcy.com,marketing@marcy.com,,invalid,614.224.6226,,new
2026-08-15,OuterBox,https://www.outerboxdesign.com,sales@outerbox.com,sales@outerbox.com,catch_all,1-866-647-9218,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-15,"Robintek: Columbus Website Design, Graphic Design & SEO Company",https://www.robintek.com,info@robintek.com,info@robintek.com,valid,(614) 888-3001,,new
2026-08-13,SEOlium Rank Tracker - Professional Google Rank Tracker for SEO,https://www.seolium.com,info@seolium.com,,invalid,"500 
 5000",,new
2026-08-13,SEOteric Digital Marketing,https://www.seoteric.com,"info@seoteric.com, support@seoteric.com","info@seoteric.com, support@seoteric.com",catch_all,800.314.4736,,emailed
2026-08-13,Superpages THE Local Business Directory,https://www.superpages.com,support@thryv.com,,invalid,1-866-794-0889,,new
2026-08-15,The Real Social Company,https://www.therealsocialcompany.com,"you@company.com, info@therealsocialcompany.com, your@email.com",,unverified,614-482-2126,,new
