Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-09-18,ASCELIX,https://ascelix.de,"info@ascelix.de, name@firma.de",info@ascelix.de,catch_all,1575 6127651,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Feedbax: Die beste Agentur suchen & finden,https://feedbax.de,"info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de","info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de",valid,,,emailed
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-28,طلال مندو — Talal Mando,https://talalmando.com,hello@talalmando.com,hello@talalmando.com,valid,,,new
2026-08-14,Trustlocal | Finden Sie die besten Dienstleister,https://trustlocal.de,"kundendienst@trustlocal.de, name@beispiel.de, klantenservice@trustoo.nl, info@trustlocal.de","kundendienst@trustlocal.de, info@trustlocal.de, klantenservice@trustoo.nl",catch_all,,,emailed
2026-08-22,Webdelo,https://webdelo.de,"legal@webdelo.de, sales@webdelo.de, accounting@webdelo.de, hr@webdelo.de, support@webdelo.de, info@webdelo.de, info@webdelo.com, info@webdelo.md",,unverified,433 3803034,,new
2026-08-13,10SEOS,https://www.10seos.com,info@10seos.com,info@10seos.com,catch_all,,,emailed
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-14,Agenturtipp.de,https://www.agenturtipp.de,info@agenturtipp.de,,unverified,3830386,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-09-18,SysWelt,https://www.syswelt.com,"your@email.com, john@institution.com, you@email.com, info@syswelt.de",info@syswelt.de,valid,,,new
2026-08-17,Basal Labs,https://www.thebasallabs.com,"info@thebasallabs.com, your@email.com",info@thebasallabs.com,catch_all,,,emailed
