Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-23,Ace Web Development,https://acewebdevelopment.com,hello@acewebdevelopment.com,,unverified,,,new
2026-08-23,firebrand.nz,https://firebrand.nz,hello@firebrand.nz,hello@firebrand.nz,catch_all,477 3473,,new
2026-08-23,Lawford and Co. Website Design and Development | Dunedin | New Zealand,https://lawfordandcomarketing.co.nz,josh@caddiedigital.co.nz,josh@caddiedigital.co.nz,valid,2102997040,,new
2026-08-20,Pryce Digital,https://prycedigital.com,"studio@prycedigital.com, hello@you.com",hello@you.com,catch_all,,,new
2026-08-23,Sky Media - Growth-Focused Internet Marketing,https://skymedia.nz,info@skymedia.nz,,unverified,,,new
2026-08-14,TopChoice,https://topchoice.co.nz,topchoice@eightysix.digital,,invalid,,,new
2026-08-14,Ultimate Web Designs Limited,https://ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,valid,6421791,,emailed
2026-08-23,Webscape,https://webscape.co.nz,"you@company.com, hello@webscape.co.nz",hello@webscape.co.nz,catch_all,,,new
2026-08-23,Affordable Website Design NZ | Kiwi Web Designers for Small Business,https://www.543websitedesign.co.nz,jamie@543.co.nz,jamie@543.co.nz,valid,261 1143,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-15,Web Design Awards,https://www.webdesignawards.io,"you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io","you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io",catch_all,,,new
2026-08-23,Website Design,https://www.website-design.co.nz,"hosting@website-design.co.nz, fionna@website-design.co.nz, action@website-design.co.nz","hosting@website-design.co.nz, fionna@website-design.co.nz, action@website-design.co.nz",valid,,,new
2026-08-23,"Zuma - Website Design, Development and Online Strategy",https://www.zuma.co.nz,"info@zuma.co.nz, phillip@zuma.co.nz","info@zuma.co.nz, phillip@zuma.co.nz",valid,,,new
