Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-21,Dream Digital Agency – Award-Winning Digital Agency,https://dreamdigital.agency,"your@email.com, contact@dreamdigital.agency",,unverified,800 0438,,new
2026-08-31,Duncan Weddell & Co,https://duncanweddell.co.uk,hello@duncanweddell.co.uk,hello@duncanweddell.co.uk,valid,202 9179,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-13,Evoke Studio,https://madebyevoke.com,"you@company.com, work@madebyevoke.com",,unverified,,,new
2026-08-31,"TwoFifths Design | Squarespace & WordPress, Brand & Animation, Edinburgh",https://twofifths.design,"user@domain.com, steven@twofifthsdesign.com, hello@twofifthsdesign.com",,unverified,,,new
2026-08-14,UKAgencies.co.uk,https://ukagencies.co.uk,hello@ukagencies.co.uk,,invalid,,,new
2026-08-31,55 Web Design Edinburgh – Web design agency in Edinburgh,https://www.55webdesignedinburgh.co.uk,cb@55webdesignedinburgh.co.uk,,unverified,,,new
2026-08-31,Arcas Web Design & Development,https://www.arcas.co.uk,info@arcas.co.uk,info@arcas.co.uk,catch_all,620 8110,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-14,La Fabrique du Net,https://www.lafabriquedunet.co.uk,"nom@entreprise.com, your@email.com, name@company.com, hello@lafabriquedunet.co.uk, vous@entreprise.com, you@company.com, votre@email.fr",,unverified,,,new
2026-08-31,Primal Space,https://www.primalspace.co.uk,hello@primalspace.co.uk,,invalid,233 3126,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-08-31,Webskitters –,https://www.webskitters.com,"sales@webskitters.uk, sales@webskitters.com",,invalid,4420363,,new
