Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-02,Essen,https://esseninternational.com,"daniel.teame@esseninternational.com, career@esseninternational.com, info@esseninternational.com, anton.gardsater@esseninternational.com, danny.jian@esseninternational.com, alex.holmen@esseninternational.com, jobs@esseninternational.com",,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-09-02,KOCH ESSEN,https://koch-essen.com,"info@koch-essen.de, bewerbung@koch-essen.de",,invalid,201 8944,,new
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,emailed
2026-08-28,طلال مندو — Talal Mando,https://talalmando.com,hello@talalmando.com,hello@talalmando.com,valid,,,new
2026-08-22,Webdelo,https://webdelo.de,"legal@webdelo.de, sales@webdelo.de, accounting@webdelo.de, hr@webdelo.de, support@webdelo.de, info@webdelo.de, info@webdelo.com, info@webdelo.md",,unverified,433 3803034,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-09-02,Honolulu Civil Beat,https://www.civilbeat.org,"news@civilbeat.org, mtagami@civilbeat.org","news@civilbeat.org, mtagami@civilbeat.org",catch_all,,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-09-02,https://www.hawaiinewsnow.com,https://www.hawaiinewsnow.com,"mark.carpenter@hawaiinewsnow.com, lili.hurd@hawaiinewsnow.com, slum@hawaiinewsnow.com, lkawano@hawaiinewsnow.com, mahealani.richardson@hawaiinewsnow.com, alayna.kobayashi@hawaiinewsnow.com, zoe.hamada@hawaiinewsnow.com, terri.inefuku@hawaiinewsnow.com, lynn.kawano@hawaiinewsnow.com, kfvepublicfile@hawaiinewsnow.com, aalii.dukelow@hawaiinewsnow.com, albert.respicio@hawaiinewsnow.com, melanie.yamaguchi@hawaiinewsnow.com, daryl.huff@hawaiinewsnow.com, ksixpublicfile@hawaiinewsnow.com, koggpublicfile@hawaiinewsnow.com, mary.vorsino@hawaiinewsnow.com, jocelyn.saribay@hawaiinewsnow.com, kgmbpublicfile@hawaiinewsnow.com, dillon.ancheta@gray.tv, allhawaiisocial@hawaiinewsnow.com, annalisa.burgos@hawaiinewsnow.com, ben.gutierrez@hawaiinewsnow.com, kyle.chinen@hawaiinewsnow.com, jonathan.masaki@hawaiinewsnow.com, mrichardson@hawaiinewsnow.com, betsy.brown@hawaiinewsnow.com, chad.asuncion@hawaiinewsnow.com, khnlpublicfile@hawaiinewsnow.com","mark.carpenter@hawaiinewsnow.com, lili.hurd@hawaiinewsnow.com, slum@hawaiinewsnow.com, lkawano@hawaiinewsnow.com, mahealani.richardson@hawaiinewsnow.com, alayna.kobayashi@hawaiinewsnow.com, zoe.hamada@hawaiinewsnow.com, terri.inefuku@hawaiinewsnow.com, lynn.kawano@hawaiinewsnow.com, kfvepublicfile@hawaiinewsnow.com, aalii.dukelow@hawaiinewsnow.com, albert.respicio@hawaiinewsnow.com, daryl.huff@hawaiinewsnow.com, ksixpublicfile@hawaiinewsnow.com, jocelyn.saribay@hawaiinewsnow.com, kgmbpublicfile@hawaiinewsnow.com, annalisa.burgos@hawaiinewsnow.com, ben.gutierrez@hawaiinewsnow.com, jonathan.masaki@hawaiinewsnow.com, mrichardson@hawaiinewsnow.com",valid,(808) 847-3246,,new
2026-08-18,Merriam-Webster: America's Most Trusted Dictionary,https://www.merriam-webster.com,325506e3332d487999567a7bc91d151d@bug-reporting-xalgha6.m-w.com,,unverified,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-13,Outsource Accelerator,https://www.outsourceaccelerator.com,info@outsourceaccelerator.com,info@outsourceaccelerator.com,valid,,,emailed
2026-08-26,"ð¤ KI-Automatisierung, SEO & Webseiten fÃ¼r den Mittelstand",https://www.pragma-code.de,"info@pragma-code.de, ihre@email.de",,unverified,,,new
2026-08-21,Red Dot Design Award,https://www.red-dot.org,empfang@red-dot.org,,unverified,,,new
2026-08-18,The Crazy Tourist,https://www.thecrazytourist.com,jan@thecrazytourist.com,jan@thecrazytourist.com,catch_all,,,new
