Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-14,7BE,https://7be.io,"info@7be.io, you@company.com",info@7be.io,catch_all,,,new
2026-08-14,Digi Planet – Digital Engineering & IT-Service,https://digi-planet.de,info@digi-planet.de,info@digi-planet.de,valid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-13,Konigle,https://konigle.com,support@konigle.com,support@konigle.com,catch_all,2018153,,new
2026-08-14,Musemind,https://musemind.agency,"hello@musemind.agency, career@musemind.agency, hello@musemind.de","hello@musemind.agency, career@musemind.agency",catch_all,+1 (917) 960-9979,,new
2026-08-14,Digital Storytelling & 3D Website Design Agency | Noomo,https://noomoagency.com,hello@noomoagency.com,hello@noomoagency.com,catch_all,,,new
2026-08-14,Trustlocal | Finden Sie die besten Dienstleister,https://trustlocal.de,"kundendienst@trustlocal.de, name@beispiel.de, klantenservice@trustoo.nl, info@trustlocal.de","kundendienst@trustlocal.de, info@trustlocal.de, klantenservice@trustoo.nl",catch_all,,,new
2026-08-14,Vincency,https://vincency.com,"ihre.email@unternehmen.de, info@vincency.com",,unverified,1522 3357888,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-14,011BQ,https://www.011bq.com,info@011bq.com,,unverified,+1 406-946-5554,,new
2026-08-14,Agenturmatching.de,https://www.agenturmatching.de,info@agenturmatching.de,,unverified,,,new
2026-08-14,BabyLoveGrowth,https://www.babylovegrowth.ai,"you@company.com, hello@babylovegrowth.ai, support@babylovegrowth.ai","hello@babylovegrowth.ai, support@babylovegrowth.ai",valid,,,new
2026-08-14,Convecto,https://www.convecto.com,info@convecto.com,info@convecto.com,valid,,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,new
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,new
2026-08-14,Freelancer,https://www.freelancer.com,speaker@freelancer.com,speaker@freelancer.com,catch_all,,,new
2026-08-13,Generator Website - AI-Powered Tools for Productivity,https://www.generatorwebsite.com,hello@generatorwebsite.com,,unverified,,,new
2026-08-14,Gerriets GmbH,https://www.gerriets.com,info@gerriets.com,info@gerriets.com,valid,,,new
2026-08-14,"Hello Performance GmbH – Performance Online Marketing bei Frankfurt – Lernen Sie uns kennen und erfahren Sie in einem kurzen Gespräch, was uns besonders macht und von anderen Agenturen unterscheidet. Es lohnt sich!",https://www.hello-performance.com,"start@hello-performance.com, kontakt@hello-performance.com, kontakt@hello-performance.de",,unverified,5033399,,new
2026-08-14,mindmelt,https://www.mindmelt.de,"unyyb@zvaqzryg.qr, hallo@mindmelt.de",hallo@mindmelt.de,valid,2193625,,new
2026-08-14,Next Web Solutions GmbH – Werbeagentur Frankfurt am Main,https://www.next-web-solutions.com,contact@next-web-solutions.com,,unverified,,,new
2026-08-14,Saintos — Creative Branding & Digital Design Agency,https://www.saintos.studio,"micael@saintos.studio, contact@website.com, contact@saintos.studio",micael@saintos.studio,valid,4917263,,new
2026-08-14,"Ihre Digitalagentur | Architektur, Entwicklung, Digital Marketing & KI",https://www.sunzinet.com,kamm.lukas@sunzinet.com,,unverified,512 3274861,,new
2026-08-14,Ventas Webdesign CLG,https://www.ventas-webdesign.com,"info@ventas-webdesign.de, your@email.com",,unverified,6636949,,new
2026-08-14,Webpulse Solution Pvt Ltd,https://www.webpulseindia.com,sales@webpulseindia.com,sales@webpulseindia.com,catch_all,688-9878,,new
2026-08-14,Digital Marketing Web Development & Advertising,https://zaltsman.media,"web3.rz@gmail.com, info@zalts-man.com","web3.rz@gmail.com, info@zalts-man.com",valid,,,new
