Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-30,APPWRK IT Solutions,https://appwrk.com,"enquiry@appwrk.com, contact@appwrk.com",,invalid,+1.718.313.0706,,new
2026-08-30,Bohnenn Webdesign,https://en.bohnennwebdesign.nl,info@bohnennwebdesign.nl,,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-15,Trustoo - Vind de beste bedrijven voor jou,https://trustoo.nl,"klantenservice@trustoo.nl, info@trustoo.nl, naam@voorbeeld.nl","klantenservice@trustoo.nl, info@trustoo.nl",catch_all,,,emailed
2026-08-16,Webdesign Agency Amsterdam | WebDevine,https://wearewebdevine.com,info@yourdomain.com,,invalid,456-6780,,new
2026-08-30,"Sterk merkverhaal met branding, design en elearning",https://www.ambasco.com,info@ambasco.com,,invalid,202 5384,,new
2026-08-29,Groove Digital | AI-Native Agency for SMEs & Scale-ups,https://www.groovedigital.agency,"your@company-email.com, hello@groovedigital.agency",hello@groovedigital.agency,valid,,,new
2026-08-15,Hostingradar,https://www.hostingradar.io,info@hostingradar.nl,,unverified,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-15,Rimbo Designs | High-Impact Websites for Purpose-Driven Growth,https://www.rimbodesigns.com,hello@rimbodesigns.com,,unverified,,,new
2026-08-13,Semrush,https://www.semrush.com,mail@semrush.com,,invalid,,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,emailed
2026-08-30,Suhanasoftech – Website Development Company in Kolkata,https://www.suhanasoftech.com,"customercare@suhanasoftech.com, info@suhanasoftech.com","customercare@suhanasoftech.com, info@suhanasoftech.com",valid,1 8583959528,,new
2026-08-30,Text | AI Customer Service Engine That Drives Revenue,https://www.text.com,"press@text.com, investor@text.com, support@text.com, sales@text.com","press@text.com, investor@text.com, support@text.com, sales@text.com",catch_all,,,new
2026-08-15,Toptal - Hire Freelance Talent from the Top 3%,https://www.toptal.com,"steve.schirr@toptal.com, partners@toptal.com, press@toptal.com, support@toptal.com, investors@toptal.com","steve.schirr@toptal.com, partners@toptal.com, press@toptal.com, support@toptal.com, investors@toptal.com",catch_all,,,emailed
