Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-07,"Web Design Company in Hamilton, New Zealand | Aiwin Media",https://aiwinmedia.co.nz,"info@aiwinmedia.co.nz, aiwinmedianz@gmail.com, info@aiwinmedia.com",aiwinmedianz@gmail.com,valid,500 5028,,new
2026-09-07,Don't settle for an ordinary website | We're web designers that take a user first approach,https://blacksheepcreative.co.nz,support@baa.co.nz,support@baa.co.nz,catch_all,838 9321,,new
2026-09-07,CubeMedia,https://cubemedia.nz,"hello@cubemedia.co.nz, hello@cubemedia.nz","hello@cubemedia.co.nz, hello@cubemedia.nz",catch_all,834 0192,,new
2026-09-07,Ingot Digital,https://ingot.nz,info@ingot.nz,info@ingot.nz,catch_all,,,new
2026-08-13,Konigle,https://konigle.com,support@konigle.com,support@konigle.com,catch_all,2018153,,emailed
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,emailed
2026-09-07,Oraco Solutions - Website Design NZ & AUS,https://oraco.co.nz,sales@oraco.co.nz,,unverified,,,new
2026-09-07,Point B Strategic Marketing,https://pointb.co.nz,hello@pointb.co.nz,,invalid,839 4994,,new
2026-08-14,My Company,https://thewebcompany.digital,partners@thewebco.co.nz,partners@thewebco.co.nz,catch_all,,,emailed
2026-08-14,TopChoice,https://topchoice.co.nz,topchoice@eightysix.digital,,invalid,,,new
2026-08-14,Ultimate Web Designs Limited,https://ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,valid,6421791,,emailed
2026-09-07,Website Design Christchurch | Logos & Graphic Design,https://www.activate.co.nz,hello@activate.co.nz,hello@activate.co.nz,catch_all,964 5305,,new
2026-09-07,Digital Stream,https://www.digitalstream.co.nz,"hello@digitalstream.co.nz, support@digitalstream.co.nz","hello@digitalstream.co.nz, support@digitalstream.co.nz",valid,,,new
2026-09-07,"HNDRX | Branding & Web Design Studio | Hamilton, NZ",https://www.hndrx.co.nz,hello@hndrx.co.nz,hello@hndrx.co.nz,catch_all,,,new
2026-09-07,jamm | Affordable Web Design Hamilton | Jamm,https://www.jamm.nz,hello@jamm.nz,hello@jamm.nz,catch_all,,,new
2026-09-06,"The Launch Agency | Performance Marketing, Paid Ads, Web Design & SEO NZ",https://www.launchagency.co.nz,"ben@launchagency.co.nz, jessie@launchagency.co.nz, laura@launchagency.co.nz, trijah@launchagency.co.nz, kaden@launchagency.co.nz, kiran@launchagency.co.nz, jamie@launchagency.co.nz, hello@launchagency.co.nz","ben@launchagency.co.nz, laura@launchagency.co.nz, trijah@launchagency.co.nz, kaden@launchagency.co.nz, kiran@launchagency.co.nz, jamie@launchagency.co.nz, hello@launchagency.co.nz",valid,274 6064,,new
2026-09-07,"Web Design & Development, Hamilton, New Zealand | TYRO Creative",https://www.tyrocreative.co.nz,"daniel@tyrocreative.co.nz, daniel@thoughtfulhq.co.nz",daniel@tyrocreative.co.nz,valid,,,new
2026-09-07,Wildhouse Design Studio | Wildly good websites & branding for businesses,https://www.wildhouse.co.nz,"anesha@wildhouse.co.nz, hello@wildhouse.co.nz",,invalid,,,new
