Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,BragDeal Inc.,https://bragdeal.com,"support@bragdeal.com, info@bragdeal.com","support@bragdeal.com, info@bragdeal.com",catch_all,+1 844 604 2724,,emailed
2026-08-13,helloDarwin,https://hellodarwin.com,"clients@hellodarwin.com, info@hellodarwin.com","clients@hellodarwin.com, info@hellodarwin.com",catch_all,,,emailed
2026-08-28,Hiilite Web Design + Marketing + SEO,https://hiilite.com,"cam@hiilite.com, will@hiilite.com, studio@hiilite.com, bijoy@hiilite.com","cam@hiilite.com, will@hiilite.com, studio@hiilite.com, bijoy@hiilite.com",catch_all,(888) 303-3444,,new
2026-08-28,KWD Web and Marketing | Kelowna Website Design,https://kwdmarketing.ca,info@kwdmarketing.ca,info@kwdmarketing.ca,catch_all,778-484-7483,,new
2026-08-28,mervinmedia.com,https://mervinmedia.com,"drew@mervinmedia.com, example@mail.com",,unverified,+1 (250) 682-9422,,new
2026-08-28,Website Design Agency Vernon | MIM Marketing in Motion,https://mimmarketinginmotion.com,contact@mimmarketinginmotion.com,,unverified,778-932-0039,,new
2026-08-28,New Design Co,https://newdesignco.agency,mark@newdesignco.agency,,unverified,306.850.8040,,new
2026-08-28,Best Of Kelowna,https://winners.kelownanow.com,"eyecare@tutteyes.ca, info@nowmediagroup.ca",info@nowmediagroup.ca,catch_all,,,new
2026-08-28,Sitely Pro,https://www.sitelypro.com,info@sitelypro.com,info@sitelypro.com,catch_all,+1-647-496-4200,,new
2026-08-28,WebStorm | Kelowna Website Design Company,https://www.webstorm.ca,info@webstorm.ca,info@webstorm.ca,valid,250-769-0699,,new
