Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-09-08,Daim,https://daim.dev,"contact@daim.dev, damien.robinson@daim.dev","contact@daim.dev, damien.robinson@daim.dev",valid,,,new
2026-08-13,Data Driven Digital,https://datadrivendigital.com.au,hello@datadrivendigital.com.au,hello@datadrivendigital.com.au,catch_all,,,emailed
2026-09-08,Diverse Website Design,https://diversewebsitedesign.com.au,contact@diversewebsitedesign.com.au,contact@diversewebsitedesign.com.au,catch_all,,,new
2026-09-08,JKB Web Solutions,https://jkb.com.au,"seoconsultant@gmail.com, jacob@jkb.com.au, marketing@gmail.com, seo@gmail.com, linkbuilding@gmail.com","linkbuilding@gmail.com, jacob@jkb.com.au",valid,,,new
2026-08-14,kcwebdesign.com.au,https://kcwebdesign.com.au,kyle@kcwebdesign.com.au,kyle@kcwebdesign.com.au,valid,,,emailed
2026-08-13,Nifty Websites Australia,https://niftywebsites.com.au,"info@niftywebsites.com.au, australiainfo@niftywebsites.com.au, derek@niftymarketing.com","info@niftywebsites.com.au, australiainfo@niftywebsites.com.au",catch_all,,,emailed
2026-08-15,Straight Up Digital,https://straightupdigital.com.au,hello@straightupdigital.com.au,hello@straightupdigital.com.au,catch_all,,,emailed
2026-08-13,STRUD Digital Marketing Agency,https://strudmarketing.com.au,admin@strudmarketing.com.au,admin@strudmarketing.com.au,catch_all,638 8880,,emailed
2026-09-08,Tasmania Web Design Co,https://tasmaniawebdesignco.com,"hello@tasmaniawebdesign.co, you@business.com.au",,unverified,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-15,Madweb,https://www.madweb.com.au,hello@madweb.com.au,hello@madweb.com.au,catch_all,500 0489,,emailed
2026-09-08,ONE Degree Studio,https://www.onedegree.studio,"hello@onedegree.studio, alex@company.com",,unverified,,,new
2026-09-08,The Internet Folks,https://www.theinternetfolks.com,"projects@theinternetfolks.com, priyanka.gupta@theinternetfolks.com, abhishek.yagnik@theinternetfolks.com","projects@theinternetfolks.com, priyanka.gupta@theinternetfolks.com, abhishek.yagnik@theinternetfolks.com",catch_all,+1 (628) 500 8929,,new
2026-09-04,Webtechnomind,https://www.webtechnomind.com,"you@company.com, info@webtechnomind.com",info@webtechnomind.com,valid,1 8777639601,,new
2026-09-08,Zeteo Studio,https://zeteo.studio,lachlan@zeteostudio.com,,unverified,,,new
