Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-22,Bobble Digital,https://bobbledigital.com,media@bobbledigital.com,,invalid,468 3902,,new
2026-08-22,Finc Social,https://fincsocial.co.uk,info@fincsocial.co.uk,info@fincsocial.co.uk,catch_all,,,new
2026-08-22,Social Media Marketing Agency in Leeds & Wakefield | SMM Leeds,https://smmleeds.co.uk,info@smmleeds.co.uk,,unverified,403 7261,,new
2026-08-22,All Right Leeds,https://www.allrightleeds.co.uk,support@allrightleeds.co.uk,support@allrightleeds.co.uk,catch_all,,,new
2026-08-22,"Digital Agency Leeds - Web, Marketing & E-commerce | Ascensor",https://www.ascensor.com,andrew@ascensor.com,andrew@ascensor.com,valid,831 4400,,new
2026-08-22,Creative Marketing Services Leeds,https://www.cmsadvertising.co.uk,hello@cmsadvertising.co.uk,hello@cmsadvertising.co.uk,valid,287 7973,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-22,Marketing Strategy Agency in Leeds | Leeds DigitalÂ®,https://www.leedsdigital.com,mick@leedsdigital.com,mick@leedsdigital.com,valid,833 6229,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,new
2026-08-18,Splitpixel,https://www.splitpixel.co.uk,hello@splitpixel.co.uk,hello@splitpixel.co.uk,valid,6644133,,new
2026-08-18,TrustValet,https://www.trustvalet.co.uk,"info@trustvalet.co.uk, u003einfo@trustvalet.co.uk","info@trustvalet.co.uk, u003einfo@trustvalet.co.uk",catch_all,,,new
