Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-22,"Online Marketing Bureau voor Webdesign, SEO & AI | Ploko.nl",https://ploko.nl,support@ploko.nl,,invalid,7040725,,new
2026-08-24,PROJECTIE,https://projectie.com,"info@projectie.com, jan@voorbeeld.nl",info@projectie.com,valid,5588835,,new
2026-08-24,Rocket Minds,https://rminds.nl,"info@rminds.nl, amsterdam@rminds.nl, leiden@rminds.nl","info@rminds.nl, amsterdam@rminds.nl, leiden@rminds.nl",catch_all,,,new
2026-08-15,Score Agency,https://scoreagency.nl,"info@scoreagency.nl, naam@bedrijf.nl",info@scoreagency.nl,valid,870 0020,,new
2026-08-15,Trustoo - Vind de beste bedrijven voor jou,https://trustoo.nl,"klantenservice@trustoo.nl, info@trustoo.nl, naam@voorbeeld.nl","klantenservice@trustoo.nl, info@trustoo.nl",catch_all,,,emailed
2026-08-24,VarenyaZ,https://varenyaz.com,business@varenyaz.com,business@varenyaz.com,catch_all,,,new
2026-08-24,Webdesign in Leiden | Professioneel Webdesignbureau Projectie,https://webdesigninleiden.nl,"info@projectie.com, uw@email.nl",info@projectie.com,valid,,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-15,Hostingradar,https://www.hostingradar.io,info@hostingradar.nl,,unverified,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-15,Rimbo Designs | High-Impact Websites for Purpose-Driven Growth,https://www.rimbodesigns.com,hello@rimbodesigns.com,,unverified,,,new
2026-08-16,SAM Design,https://www.samdesign.nl,"naam@voorbeeld.nl, info@samdesign.nl",,unverified,7780704,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,emailed
2026-08-15,Web Design Awards,https://www.webdesignawards.io,"you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io","you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io",catch_all,,,new
2026-08-24,WebDirect,https://www.webdirect.nl,"je@email.nl, projects@webdirect.nl, hello@webdirect.nl, klant@email.nl","projects@webdirect.nl, hello@webdirect.nl",catch_all,,,new
