Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-02,Desent Solutions GmbH,https://en.desent.io,info@desent.io,info@desent.io,valid,6918302,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-13,Konigle,https://konigle.com,support@konigle.com,support@konigle.com,catch_all,2018153,,emailed
2026-09-02,Kopf & Stift | Webdesign Agentur,https://kopfundstift.de,info@kopfundstift.de,,unverified,,,new
2026-09-02,Internetagentur laOlaWeb - Agentur für WordPress,https://laolaweb.com,info@laolaweb.com,,unverified,341 5298347,,new
2026-09-01,Passionate Agency,https://passionates.com,hello@passionates.com,hello@passionates.com,catch_all,+1 646 693 2287,,new
2026-08-17,Senorit,https://senorit.de,"kontakt@senorit.de, noreply-trap@senorit.de, ihre@email.de, max@beispiel.de",kontakt@senorit.de,valid,,,emailed
2026-08-26,"Webdesign Agentur Berlin, Web Development Agentur Deutschland – Webdesign Agentur Berlin, Web Development Agentur Deutschland",https://webdesign-webseitenerstellung-webentwicklung.de,info@onmascout.de,info@onmascout.de,valid,231 9595990,,new
2026-09-02,Webdesign Leipzig,https://webdesignleipzig.de,"neukunde@webdesignleipzig.de, karriere@webdesignleipzig.de, info@webdesignleipzig.de, presse@webdesignleipzig.de",,unverified,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-15,WebWizr â Schnelle Websites mit Astro Â· SEO Â· Video Â· KI,https://webwizr.eu,"name@firma.de, info@webwizr.eu",name@firma.de,catch_all,,,emailed
2026-08-13,10SEOS,https://www.10seos.com,info@10seos.com,info@10seos.com,catch_all,,,emailed
2026-08-14,Agenturmatching.de,https://www.agenturmatching.de,info@agenturmatching.de,,unverified,,,new
2026-09-02,Deutrik GmbH,https://www.deutrik.de,office@deutrik.de,,invalid,,,new
2026-08-22,App Entwicklung und UX/UI Design mit 100% Kundenzufriedenheit,https://www.knguru.de,hello@knguru.de,hello@knguru.de,valid,2396569,,new
2026-08-24,magier - Your Graphic Design & Webflow Subscription,https://www.magier.com,hi@magier.com,hi@magier.com,catch_all,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-09-02,Grafikdesign Webdesign Internetagentur in Leipzig - Schröder Media,https://www.schroeder-media.net,"mail@schroeder-media.net, spivde75@gmail.com, spivde75@aol.com, spivmsn@hotmail.de","mail@schroeder-media.net, spivde75@gmail.com",valid,"990 
 
 1999",,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-08-17,Basal Labs,https://www.thebasallabs.com,"info@thebasallabs.com, your@email.com",info@thebasallabs.com,catch_all,,,emailed
