Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-18,Blue Whale Media Ltd,https://bluewhalemedia.co.uk,"asset-3@3x-8-1024x262.webp, asset-3@3x-8-300x77.webp, asset-3@3x-8.webp, asset-3@3x-8-768x197.webp, hello@bluewhalemedia.co.uk, hello@mutatio.agency","hello@bluewhalemedia.co.uk, hello@mutatio.agency",valid,333 2101,,emailed
2026-09-09,by Crawford,https://bycrawford.com,"user@domain.com, sam@bycrawford.com","user@domain.com, sam@bycrawford.com",catch_all,,,new
2026-09-19,MadeByShape,https://madebyshape.co.uk,hello@madebyshape.co.uk,hello@madebyshape.co.uk,valid,,,new
2026-09-19,Manchester Web Design Agency,https://manchesterwebagency.com,"you@business.com, info@manchesterwebagency.com",,unverified,757 2451,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-14,UKAgencies.co.uk,https://ukagencies.co.uk,hello@ukagencies.co.uk,,invalid,,,new
2026-09-09,Clixoni,https://www.clixoni.com,hello@clixoni.com,hello@clixoni.com,catch_all,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-19,Web Design Manchester | Web Design Agency | Modal Digital®,https://www.modal.co.uk,hello@modal.co.uk,hello@modal.co.uk,valid,399 3065,,new
2026-09-19,Platform | Leading Web Design Agency in Manchester,https://www.platform.team,hello@platform.team,hello@platform.team,catch_all,,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
