Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,helloDarwin,https://hellodarwin.com,"clients@hellodarwin.com, info@hellodarwin.com","clients@hellodarwin.com, info@hellodarwin.com",catch_all,,,emailed
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-09-10,Mint Media,https://mintmediaservices.com,info@mintmediaservices.com,info@mintmediaservices.com,catch_all,+1 (438) 797-7319,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-19,Techreviewer - Best Software Companies Ratings & Reviews,https://techreviewer.co,support@techreviewer.co,support@techreviewer.co,catch_all,,,emailed
2026-09-10,Bisstek Website Design Montreal,https://www.bisstek.com,hello@bisstek.com,,invalid,(438) 801-2400,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-10,Jukebox Print,https://www.jukeboxprint.com,"your@mail.com, contact@jukeboxprint.com, sponsorships@jukeboxprint.com, press@jukeboxprint.com, partnerships@jukeboxprint.com","contact@jukeboxprint.com, sponsorships@jukeboxprint.com, press@jukeboxprint.com, partnerships@jukeboxprint.com",valid,888-667-0067,,new
2026-09-10,"Orizon Design - UX Design Agency, Product Design & Branding",https://www.orizon.co,"info@orizon.co, martelli.simone@albesteiner.edu.it, don@norman.me, gauravsangar22@hotmail.com, ludvikolai14@gmail.com, lmao0x14@gmail.com","info@orizon.co, martelli.simone@albesteiner.edu.it, ludvikolai14@gmail.com, lmao0x14@gmail.com",catch_all,,,new
2026-08-13,Pick an Agency,https://www.pickanagency.com,nathan@pickanagency.com,nathan@pickanagency.com,catch_all,,,emailed
2026-09-10,Saint Urbain,https://www.sainturbain.com,info@sainturbain.com,info@sainturbain.com,catch_all,(917) 740-3820,,new
