Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-09-05,MRD Web,https://mrd.co.nz,helpdesk@mrd.co.nz,helpdesk@mrd.co.nz,catch_all,390 4300,,new
2026-08-20,Web Design & Digital Marketing Agency Auckland | NZ Digital,https://nzdigital.co.nz,"adam@nzdigital.co.nz, brittany@nzdigital.co.nz, james@nzdigital.co.nz, scott@nzdigital.co.nz, hello@nzdigital.co.nz",,invalid,601 8963,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-14,TopChoice,https://topchoice.co.nz,topchoice@eightysix.digital,,invalid,,,new
2026-08-14,Ultimate Web Designs Limited,https://ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,valid,6421791,,emailed
2026-08-23,Webpress NZ,https://webpress.co.nz,info@webpress.co.nz,info@webpress.co.nz,catch_all,9429051052,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-09-05,"Web Design in Napier, Hastings, Hawke's Bay",https://www.handsfreemarketing.com,jevon@handsfreemarketing.com,jevon@handsfreemarketing.com,valid,2759094,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-09-05,Organic Lines Design Studio,https://www.organiclines.design,user@domain.com,,invalid,,,new
2026-09-05,Hawke's Bay Web Design | Web Audits | WebShed,https://www.webshed.co.nz,"info@webshed.co.nz, hello@webshed.co.nz, support@webshed.co.nz","info@webshed.co.nz, hello@webshed.co.nz, support@webshed.co.nz",valid,269 8243,,new
