Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-16,Lightstyle,https://lightstyle.co.nz,hello@lightstyle.co.nz,,invalid,2102404450,,new
2026-09-16,Nelson Web Design | Websites for Nelson & Tasman,https://nelsonwebdesign.co.nz,hello@nelsonwebdesign.co.nz,hello@nelsonwebdesign.co.nz,catch_all,571 6090,,new
2026-09-07,No Brainer Creative,https://nobrainer.co.nz,"%20hello@nobrainer.co.nz, hello@nobrainer.co.nz",hello@nobrainer.co.nz,valid,,,new
2026-08-23,Sky Media - Growth-Focused Internet Marketing,https://skymedia.nz,info@skymedia.nz,,unverified,,,new
2026-08-14,Ultimate Web Designs Limited,https://ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,valid,6421791,,emailed
2026-09-16,Webworkz,https://webworkz.nz,contact@webworkz.nz,,unverified,,,new
2026-08-14,Lucid Media,https://www.lucidmedia.co.nz,"info@lucidmedia.co.nz, john@company.com",info@lucidmedia.co.nz,valid,582 4369,,emailed
2026-09-16,Website Design Nelson | WordPress & Shopify from netMaestro,https://www.netmaestro.co.nz,info@netmaestro.co.nz,info@netmaestro.co.nz,valid,548 1300,,new
2026-09-16,NZTEC Web Design,https://www.nztec.co.nz,info@nztec.co.nz,,invalid,,,new
2026-09-16,Slightly Different,https://www.slightlydifferent.co.nz,support@slightlydifferent.co.nz,,invalid,541 9468,,new
2026-09-10,The Marketing Studio,https://www.themarketingstudio.co.nz,info@themarketingstudio.co.nz,,invalid,546 8269,,new
