Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-23,Blue Shark,https://blue-shark.co.uk,info@blue-shark.co.uk,info@blue-shark.co.uk,catch_all,209 2773,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-14,Fenti Marketing,https://fenti.co.uk,hello@fenti.co.uk,,invalid,7432597,,new
2026-08-23,James Woolford Design,https://jameswoolford.co.uk,james@jameswoolford.co.uk,james@jameswoolford.co.uk,catch_all,432 7038,,new
2026-08-23,Newcastle Design Studios,https://newcastledesignstudios.co.uk,jane@yourcompany.co.uk,,unverified,946 3910,,new
2026-08-23,Northern Design & Digital Marketing,https://northern.digital,"hello@northern.digital, your@email.com",hello@northern.digital,catch_all,476 9345,,new
2026-08-23,TAC Design,https://tac.studio,"hello@tac.studio, hello@tac-design.co.uk","hello@tac.studio, hello@tac-design.co.uk",valid,2654952,,new
2026-08-17,TrustValet,https://trustvalet.co.uk,"info@trustvalet.co.uk, u003einfo@trustvalet.co.uk","info@trustvalet.co.uk, u003einfo@trustvalet.co.uk",catch_all,,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-23,Maddison Creative | Web Design | Digital & Print,https://www.maddisoncreative.co.uk,"michael@maddisoncreative.co.uk, ask@maddisoncreative.co.uk",,unverified,,,new
2026-08-23,Best Accountant Newcastle,https://www.newcastlewebdesignagency.co.uk,"info@bestaccountantnewcastle.co.uk, john@doe.com",john@doe.com,catch_all,,,new
2026-08-23,NHANCE Digital,https://www.nhancedigital.com,info@nhancedigital.com,,invalid,273 9214,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,emailed
2026-08-23,Readysalted,https://www.readysalted.co.uk,sayhello@readysalted.co.uk,sayhello@readysalted.co.uk,catch_all,261 7990,,new
2026-08-23,Site Commander Studio,https://www.sitecommanderstudio.com,hello@sitecommanderstudio.com,,invalid,5308472,,new
2026-08-23,Sleeky Web Design,https://www.sleeky.co.uk,info@sleeky.co.uk,,invalid,649 8949,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-08-15,WebUp® Media,https://www.webup.co.uk,hello@webup.co.uk,hello@webup.co.uk,valid,800 246 1142,,emailed
