Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-01,"Full-Service Digital Marketing & Creative Agency Bucks, Berks & Oxon",https://biggundigital.co.uk,letschat@biggundigital.co.uk,letschat@biggundigital.co.uk,valid,494 6290,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-30,"Broadband, Home VoIP, Free Email, Web Hosting and Domains | Freeola",https://freeola.com,2a0e6f82eb8f46caa125cd68ecf0c94c@sentry.freeola.systems,,unverified,,,new
2026-08-19,Medium,https://medium.com,"angelgarcia.mail@gmail.com, pressinquiries@medium.com","angelgarcia.mail@gmail.com, pressinquiries@medium.com",valid,,,new
2026-09-01,Oxford Web Builders,https://oxfordwebbuilders.com,info@oxfordwebbuilders.com,info@oxfordwebbuilders.com,valid,0783887478,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-01,"Website Design, Development & Hosting Services UK | Intuitiv Digital",https://www.intuitiv.net,"employment@intuitiv.net, hello@intuitiv.net",,invalid,2963993,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,emailed
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-09-01,XIST2,https://xist2.com,info@xist2.com,info@xist2.com,valid,,,new
