Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,CatchExperts,https://catchexperts.com,info@catchexperts.com,,invalid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-18,HUEMOR,https://huemor.rocks,sales@huemor.rocks,sales@huemor.rocks,valid,631-393-6116,,new
2026-08-18,Pittsburgh Web Development,https://pittsburghwebdevelopment.com,hello@pittsburghwebdevelopment.com,,invalid,412-259-3378,,new
2026-08-18,Prizum Creative - A Pittsburgh Design Firm,https://prizumcreative.com,"dustin@prizumweb.com, olivia@prizumweb.com, mark@prizumweb.com, hello@prizumweb.com, jesse@prizumweb.com, jess@prizumweb.com, laura@prizumweb.com, alyssa@prizumweb.com, hello@prizumweb.com.com","dustin@prizumweb.com, olivia@prizumweb.com, mark@prizumweb.com, hello@prizumweb.com, jesse@prizumweb.com, jess@prizumweb.com, laura@prizumweb.com, alyssa@prizumweb.com, hello@prizumweb.com.com",catch_all,412.302.7126,,new
2026-08-18,The 412 Crew,https://the412crew.com,hello@the412crew.com,hello@the412crew.com,catch_all,412-212-7529,,new
2026-08-13,White Peak Marketing,https://whitepeak.io,"growth@whitepeak.io, tim@whitepeak.io","growth@whitepeak.io, tim@whitepeak.io",catch_all,(775) 451-3259,,emailed
2026-08-18,"2440 Media - Pittsburgh Web Design Company - Expert Website Design Agency in Pittsburgh, PA",https://www.2440media.com,hello@2440media.com,,invalid,412-281-2817,,new
2026-08-18,Blue Archer,https://www.bluearcher.com,"info@bluearcher.com, rfaletti@bluearcher.com",,invalid,412.353.1050,,new
2026-08-18,Higher Images Inc |,https://www.higherimages.com,"admin@higherimages.net, sales@higherimages.com",sales@higherimages.com,valid,412 203 1996,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-18,App Design Firm - ROKET - Concept to Launch App Developers,https://www.roketco.com,"david@roketco.com, hello@roketco.com","david@roketco.com, hello@roketco.com",catch_all,,,new
2026-08-13,SEOlium Rank Tracker - Professional Google Rank Tracker for SEO,https://www.seolium.com,info@seolium.com,,invalid,"500 
 5000",,new
2026-08-18,HubSpot Growth Marketing Agency | Pittsburgh Based | PIC - Walk With You Marketing®,https://www.walkwithpic.com,info@walkwithpic.com,,invalid,412-942-0222,,new
