Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-19,Gigatrix Digital Agency,http://gigatrix.co.uk,info@gigatrix.co.uk,info@gigatrix.co.uk,valid,0745535858,,new
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-19,Aswin Web Design and Digital Marketing,https://aswin.co.uk,info@aswin.co.uk,,unverified,,,new
2026-08-19,Blue Sky Web Design,https://blueskywebdesign.co.uk,hello@blueskywebdesign.co.uk,hello@blueskywebdesign.co.uk,valid,752 9361,,new
2026-08-19,Devon Design Services,https://devondesign.co.uk,project@devondesign.co.uk,,invalid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-19,Freelance Graphic Designer in Market Harborough,https://joshleist.com,josh@joshleist.com,,invalid,,,new
2026-08-19,Pink Frog Studio | Web Design & Digital Marketing Exeter | Devon,https://pinkfrog.studio,"ribbit@pinkfrog.studio, jane@company.com",ribbit@pinkfrog.studio,catch_all,392 9640,,new
2026-08-19,"Plymdigital – Professional web design in Plymouth — custom, responsive, and SEO-friendly websites that help local businesses grow online.",https://plymdigital.com,hello@plymdigital.com,hello@plymdigital.com,catch_all,961 0841,,new
2026-08-19,Promote Online,https://promoteonline.co.uk,info@promoteonline.co.uk,,unverified,,,new
2026-08-19,Bear Media SW Ltd,https://thebearmedia.co.uk,sales@thebearmedia.co.uk,,invalid,4417529161,,new
2026-08-14,"Finding the best tradesman, it will be a doddle - ThreeBestRated.co.uk",https://threebestrated.co.uk,"press@threebestrated.com, reviews@threebestrated.co.uk, support@threebestrated.co.uk","press@threebestrated.com, reviews@threebestrated.co.uk, support@threebestrated.co.uk",valid,,,new
2026-08-19,Website Design by Matrix,https://wearematrix.com,hello@wearematrix.com,,invalid,752 2500,,new
2026-08-19,Web Design and SEO Company Limited,https://webdesignandseocompany.co.uk,support@wdseo.co.uk,,invalid,752 2918,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-14,JDR Group: Marketing Agency in Derby | Digital Marketing Agency Derby,https://www.jdrgroup.co.uk,info@jdrgroup.co.uk,info@jdrgroup.co.uk,valid,5240332,,new
2026-08-14,La Fabrique du Net,https://www.lafabriquedunet.co.uk,"nom@entreprise.com, your@email.com, name@company.com, hello@lafabriquedunet.co.uk, vous@entreprise.com, you@company.com, votre@email.fr",,unverified,,,new
2026-08-19,Nettl of Plymouth,https://www.nettlofplymouth.co.uk,plymouth@nettl.com,plymouth@nettl.com,valid,,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,new
2026-08-19,Plexaweb,https://www.plexaweb.co.uk,info@plexaweb.co.uk,,invalid,,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,new
