Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-16,Code23,https://code23.com,"hello@code23.com, info@code23.com, ada@company.com","hello@code23.com, info@code23.com",catch_all,995 2852,,new
2026-09-16,Graphic and Web Design Services in Reading -,https://colabagency.co.uk,hello@colabagency.co.uk,,invalid,,,new
2026-08-19,Devon Design Services,https://devondesign.co.uk,project@devondesign.co.uk,,invalid,,,new
2026-08-19,Direct First Web Design,https://direct-1st.com,info@direct-1st.com,,unverified,"754 833 
 0800",,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-09-16,One Stop Creative Agency,https://onestopcreativeagency.co.uk,"hello@onestopcreativeagency.co.uk, hello@yourcompany.com",hello@onestopcreativeagency.co.uk,catch_all,,,new
2026-09-16,Reading Web Design Company,https://readingwebdesign.co,studio@readingwebdesign.co,,invalid,949 5539,,new
2026-08-18,RPV Media,https://rpvmedia.co.uk,hello@gmail.com,,invalid,208-6666,,new
2026-08-13,TML Agency,https://townmedialabs.com,"info@townmedialabs.com, john@company.com",,unverified,,,new
2026-09-16,Web Design Reading,https://web-design-reading.co.uk,info@web-design-reading.co.uk,,invalid,,,new
2026-09-16,Webgro,https://webgro.co.uk,"hello@webgro.co.uk, you@yourcompany.com",hello@webgro.co.uk,valid,344 2311,,new
2026-09-16,Forest Web Design,https://website-designer-reading.co.uk,info@website-designer-reading.co.uk,,unverified,333 800 8122,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-09-16,ClearBrand,https://www.clearbrand.co.uk,"info@clearbrand.co.uk, accounts@clearbrand.co.uk",,unverified,405 0255,,new
2026-09-16,Web Design in Reading,https://www.cleverfrog-design.co.uk,"sarah.berger@clever-frog.co.uk, hello@cleverfrog-design.co.uk",,unverified,920 1049,,new
2026-09-16,"it’seeze Web Design Reading – Website Designer Reading, Berkshire",https://www.itseeze-reading.co.uk,contact@itseeze.com,,unverified,800 294 0521,,new
2026-08-14,JDR Group: Marketing Agency in Derby | Digital Marketing Agency Derby,https://www.jdrgroup.co.uk,info@jdrgroup.co.uk,info@jdrgroup.co.uk,valid,5240332,,emailed
2026-08-14,La Fabrique du Net,https://www.lafabriquedunet.co.uk,"nom@entreprise.com, your@email.com, name@company.com, hello@lafabriquedunet.co.uk, vous@entreprise.com, you@company.com, votre@email.fr",,unverified,,,new
2026-09-16,"Reading UK:- News, Information and Events",https://www.reading.co.uk,"information@reading.co.uk, sales@reading.uk","information@reading.co.uk, sales@reading.uk",catch_all,,,new
2026-09-16,Small Business Web Design and Marketing Agency - Silky Ocean Studios,https://www.silkyoceanstudios.com,hello@silkyoceanstudios.com,hello@silkyoceanstudios.com,valid,800 772 3285,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,emailed
2026-08-15,WebUp® Media,https://www.webup.co.uk,hello@webup.co.uk,hello@webup.co.uk,valid,800 246 1142,,emailed
2026-09-16,WeCreate,https://www.wecreatedesign.co.uk,hello@wecreatedesign.co.uk,hello@wecreatedesign.co.uk,valid,0787787896,,new
