Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-21,Web Design Isle Of Wight | Graphic Design Isle Of Wight,https://brightbulbdesign.co.uk,hello@brightbulbdesign.co.uk,hello@brightbulbdesign.co.uk,catch_all,983 5065,,new
2026-08-21,Dream Designs Agency,https://dreamdesignsagency.com,contact@dreamdesignsagency.com,,invalid,,,new
2026-08-21,Dream Digital Agency – Award-Winning Digital Agency,https://dreamdigital.agency,"your@email.com, contact@dreamdigital.agency",,unverified,800 0438,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-19,FactoryJet,https://factoryjet.com,"john@company.com, connect@factoryjet.com",connect@factoryjet.com,catch_all,,,new
2026-08-21,Future Faced,https://futurefaced.co.uk,hello@futurefaced.co.uk,hello@futurefaced.co.uk,valid,,,new
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-15,Application & Software Development Company – Limeup,https://limeup.io,hello@limeup.io,hello@limeup.io,catch_all,807 8245,,new
2026-08-21,Loose Connections | Digital Marketing Made Simple,https://looseconnections.uk,"info@looseconnections.uk, hello@csgroup.co.uk",,invalid,202 0281,,new
2026-08-21,Mitchell & Stones,https://mitchellandstones.com,"info@mitchellandstones.com, partnerships@mitchellandstones.com, talent@mitchellandstones.com",,invalid,251 2415,,new
2026-08-21,Southampton Web Designers,https://southamptonwebdesigners.co.uk,info@southamptonwebdesigners.co.uk,,invalid,,,new
2026-08-14,"Finding the best tradesman, it will be a doddle - ThreeBestRated.co.uk",https://threebestrated.co.uk,"press@threebestrated.com, reviews@threebestrated.co.uk, support@threebestrated.co.uk","press@threebestrated.com, reviews@threebestrated.co.uk, support@threebestrated.co.uk",valid,,,new
2026-08-17,TrustValet,https://trustvalet.co.uk,"info@trustvalet.co.uk, u003einfo@trustvalet.co.uk","info@trustvalet.co.uk, u003einfo@trustvalet.co.uk",catch_all,,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-17,Blackbird Marketing,https://www.blackbird-marketing.co.uk,"contact@blackbird-marketing.co.uk, info@blackbird-marketing.co.uk, example@mysite.com",contact@blackbird-marketing.co.uk,valid,,,new
2026-08-17,boxChilli,https://www.boxchilli.com,"name@email.com, hello@boxchilli.com",hello@boxchilli.com,valid,2392822377,,new
2026-08-21,"Brambla — Branding, Websites & Marketing | Devon & London",https://www.brambla.co.uk,hello@brambla.co.uk,,invalid,805 0280,,new
2026-08-17,Damteq,https://www.damteq.co.uk,"hello@damteq.co.uk, projects@damteq.co.uk","hello@damteq.co.uk, projects@damteq.co.uk",valid,329 5650,,new
2026-08-21,it’seeze Web Design Southampton – Web Design Hampshire,https://www.itseeze-southampton.co.uk,contact@itseeze.com,,unverified,800 294 0521,,new
2026-08-14,JDR Group: Marketing Agency in Derby | Digital Marketing Agency Derby,https://www.jdrgroup.co.uk,info@jdrgroup.co.uk,info@jdrgroup.co.uk,valid,5240332,,new
2026-08-14,La Fabrique du Net,https://www.lafabriquedunet.co.uk,"nom@entreprise.com, your@email.com, name@company.com, hello@lafabriquedunet.co.uk, vous@entreprise.com, you@company.com, votre@email.fr",,unverified,,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,new
2026-08-21,Rareloop,https://www.rareloop.com,info@rareloop.com,info@rareloop.com,valid,,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,new
2026-08-21,Web Design Southampton,https://www.webdesignsouthampton.co.uk,"info@webdesignsouthampton.co.uk, ben@wai.uk, hello@webdesignsouthampton.co.uk","info@webdesignsouthampton.co.uk, hello@webdesignsouthampton.co.uk",catch_all,,,new
