Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-17,Canada Web Pro | Professional Web Design Across Canada,https://canadawebpro.ca,info@canadawebpro.ca,,invalid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-20,"JAC | John Atkins & Co | Digital Marketing Agency | St. John's, NL",https://jac.co,"mtpearl@jac.co, toronto@jac.co","mtpearl@jac.co, toronto@jac.co",catch_all,,,new
2026-08-20,Newfound Marketing,https://newfoundmarketing.ca,hello@newfoundmarketing.ca,hello@newfoundmarketing.ca,catch_all,1-709-769-2725,,new
2026-08-13,"Finding the best business, It's that easy - ThreeBestRated.ca",https://threebestrated.ca,"support@threebestrated.ca, press@threebestrated.com, reviews@threebestrated.ca","support@threebestrated.ca, reviews@threebestrated.ca, press@threebestrated.com",valid,,,emailed
2026-08-20,Professional Small Business Web Design | St. John's NL | bauble design co.,https://www.baubledesignco.ca,"brooke@baubledesignco.ca, contact@business.com",brooke@baubledesignco.ca,catch_all,1 (709) 425-1405,,new
2026-08-20,Four Winds Design,https://www.fourwindsdesign.ca,"user@domain.com, jamie@fourwindsdesign.ca",jamie@fourwindsdesign.ca,valid,709.746.5838,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-18,Unite Interactive,https://www.uniteinteractive.com,info@uniteinteractive.com,info@uniteinteractive.com,catch_all,866 255.8049,,new
2026-08-20,Webnixon,https://www.webnixon.com,hello@webnixon.com,,invalid,1 888 823 4525,,new
