Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-31,Hexxen,https://hexxen.com,grow@hexxen.com,grow@hexxen.com,catch_all,(314) 499-8253,,new
2026-09-13,"Hub & Spoke | St. Louis Web Design, Branding, Marketing Agency",https://hubandspokecreative.com,hello@hubandspokecreative.com,hello@hubandspokecreative.com,valid,888-573-4482,,new
2026-09-13,Never Gravity Web Design,https://nevergravity.com,info@nevergravity.com,info@nevergravity.com,catch_all,314-884-1153,,new
2026-09-02,New Adventure Web Design & Digital Marketing,https://newadventureweb.com,info@newadventureweb.com,info@newadventureweb.com,catch_all,(618) 340-9066,,new
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,emailed
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-09-13,Professional WordPress Website Design Company | Studio 2108 | St. Louis MO,https://studio2108.com,"wmw@studio2108.comlet, wmw@studio2108.com",wmw@studio2108.com,valid,(314) 865-5088,,new
2026-09-02,314media,https://www.314media.com,support@314media.com,support@314media.com,valid,,,new
2026-09-02,Atomicdust,https://www.atomicdust.com,info@atomicdust.com,info@atomicdust.com,catch_all,314.241.2866,,new
2026-09-13,"Be Aligned Web Design | Web Design + SEO | St. Louis, MO",https://www.bealignedwebdesign.com,"erin@bealignedwebdesign.com, user@domain.com","erin@bealignedwebdesign.com, user@domain.com",valid,,,new
