Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-20,Case Marketing & Websites,https://casemarketing.co.uk,hello@casemarketing.co.uk,hello@casemarketing.co.uk,catch_all,964 5940,,new
2026-08-19,Direct First Web Design,https://direct-1st.com,info@direct-1st.com,,unverified,"754 833 
 0800",,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Enests,https://enests.co,info@enests.co,,invalid,,,new
2026-08-20,Honcho,https://honcho.agency,"name@email.com, matt@honcho.agency, hello@honcho.agency","matt@honcho.agency, hello@honcho.agency",valid,,,new
2026-08-20,"Web design, SEO & Printing in Swansea, South Wales",https://saltwatermedia.co.uk,info@saltwatermedia.co.uk,,invalid,979 3757,,new
2026-08-20,Smart Website Designers,https://smartwebsitedesigners.co.uk,ian@smartwebsitedesigners.co.uk,,unverified,0730531966,,new
2026-08-13,TML Agency,https://townmedialabs.com,"info@townmedialabs.com, john@company.com",,unverified,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-17,Best Agencies,https://www.bestagencies.co.uk,"jane@company.com, info@bestagencies.co.uk",,unverified,,,new
2026-08-17,Blackbird Marketing,https://www.blackbird-marketing.co.uk,"contact@blackbird-marketing.co.uk, info@blackbird-marketing.co.uk, example@mysite.com",contact@blackbird-marketing.co.uk,valid,,,new
2026-08-14,La Fabrique du Net,https://www.lafabriquedunet.co.uk,"nom@entreprise.com, your@email.com, name@company.com, hello@lafabriquedunet.co.uk, vous@entreprise.com, you@company.com, votre@email.fr",,unverified,,,new
2026-08-14,Outrank,https://www.outrank.co.uk,hello@outrank.co.uk,hello@outrank.co.uk,catch_all,3258200,,new
2026-08-20,"Web Design Agency, Website Design & Development Services | Progress Web",https://www.progressweb.co.uk,sales@progressweb.co.uk,,unverified,888 4189,,new
2026-08-14,Sortlist,https://www.sortlist.co.uk,"info@ajmarketing.io, info@intouchmena.com, jane.doe@acme.com, u003eadvertise@influasia.com, janedoe@acme.com","info@ajmarketing.io, info@intouchmena.com, u003eadvertise@influasia.com",catch_all,,,new
