Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-16,Marketingzeker - Digital Marketing Expert Tilburg Nederland,https://marketingzeker.nl,"je@email.nl, info@marketingzeker.nl",,unverified,8865556,,new
2026-08-29,TPBO,https://placebrandobserver.com,"editor@placebrandobserver.com, analytics@vetranodigital.com",analytics@vetranodigital.com,catch_all,,,new
2026-08-22,Website laten maken – Roland Brugman | Webdesign & Development,https://rolandbrugman.com,"brugmanroland@gmail.com, jouw@email.nl",brugmanroland@gmail.com,valid,2518303,,new
2026-08-15,Trustoo - Vind de beste bedrijven voor jou,https://trustoo.nl,"klantenservice@trustoo.nl, info@trustoo.nl, naam@voorbeeld.nl","klantenservice@trustoo.nl, info@trustoo.nl",catch_all,,,emailed
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-14,Crunchbase | Private Company Data & Predictive Intelligence,https://www.crunchbase.com,press@crunchbase.com,press@crunchbase.com,catch_all,,,emailed
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-29,Groove Digital | AI-Native Agency for SMEs & Scale-ups,https://www.groovedigital.agency,"your@company-email.com, hello@groovedigital.agency",hello@groovedigital.agency,valid,,,new
2026-08-15,Hostingradar,https://www.hostingradar.io,info@hostingradar.nl,,unverified,,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-13,Orxaro,https://www.orxaro.com,hello@orxaro.com,,invalid,+1 (888) 555-0142,,new
2026-08-29,"Otis Bay Studio, a new breed of digital agency",https://www.otisbay.studio,hello@otisbay.studio,hello@otisbay.studio,catch_all,,,new
2026-08-15,Rimbo Designs | High-Impact Websites for Purpose-Driven Growth,https://www.rimbodesigns.com,hello@rimbodesigns.com,,unverified,,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,emailed
