Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-30,Aaron Knight,https://aaronknight.com.au,me@aaronknight.com.au,me@aaronknight.com.au,catch_all,317 3526,,new
2026-08-30,AR Digital Solutions,https://ardigitalsolutions.webflow.io,info@ardigitalsolutions.com.au,info@ardigitalsolutions.com.au,catch_all,,,new
2026-08-14,kcwebdesign.com.au,https://kcwebdesign.com.au,kyle@kcwebdesign.com.au,kyle@kcwebdesign.com.au,valid,,,emailed
2026-08-19,Medium,https://medium.com,"angelgarcia.mail@gmail.com, pressinquiries@medium.com","angelgarcia.mail@gmail.com, pressinquiries@medium.com",valid,,,new
2026-09-04,Toowoomba Web Design,https://toowoombawebdesign.com.au,mark@toowoombawebdesign.com.au,,invalid,,,new
2026-08-25,Bold Agency,https://www.boldagency.com.au,info@boldagency.com.au,,invalid,,,new
2026-08-17,Five by Five,https://www.fivebyfive.com.au,"tericjonesmyemail@gmail.com, ericjonesmyemail@gmail.com",,invalid,,,new
2026-08-20,Michael Sherry,https://www.michaelsherry.com.au,mail@michaelsherry.com.au,,unverified,,,new
2026-09-04,Toowoomba Websites,https://www.toowoombawebsites.au,hello@toowoombawebsites.au,,unverified,,,new
2026-08-13,Yellow Pages® | Your Local Australian Business Directory,https://www.yellowpages.com.au,support@thryv.com,support@thryv.com,valid,,,emailed
