Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-25,Above & Beyond Web Design,https://abpages.com,"damien@abpages.com, sales@abpages.com, support@abpages.com","damien@abpages.com, sales@abpages.com, support@abpages.com",catch_all,,,new
2026-08-13,AK Network Solutions,https://aknetworksolutions.com,"contact@aknetworksolutions.com, you@company.com",contact@aknetworksolutions.com,catch_all,1-9818020078,,emailed
2026-08-25,"Award Winning Logo Design Sydney, Australia - Creatoâ¢",https://creato.com.au,"contact@creato.com.au, hello@company.com",contact@creato.com.au,catch_all,,,new
2026-08-13,Digital Nomads HQ,https://digitalnomadshq.com.au,hello@dnhq.com.au,hello@dnhq.com.au,valid,,,emailed
2026-08-13,DigitalOn,https://digitalon.com.au,"hello@digitalon.com.au, contact@digitalon.com.au","hello@digitalon.com.au, contact@digitalon.com.au",catch_all,,,emailed
2026-08-14,Digital Surfer,https://digitalsurfer.com.au,"success@digitalsurfer.com.au, ryan@digitalsurfer.com.au, peter@digitalsurfer.com.au","success@digitalsurfer.com.au, ryan@digitalsurfer.com.au, peter@digitalsurfer.com.au",valid,609 8869,,emailed
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-14,kcwebdesign.com.au,https://kcwebdesign.com.au,kyle@kcwebdesign.com.au,kyle@kcwebdesign.com.au,valid,,,emailed
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,new
2026-08-13,Nifty Websites Australia,https://niftywebsites.com.au,"info@niftywebsites.com.au, australiainfo@niftywebsites.com.au, derek@niftymarketing.com","info@niftywebsites.com.au, australiainfo@niftywebsites.com.au",catch_all,,,emailed
2026-08-25,Web Design Townsville by Expert Townsville Web Designer Above&Beyond,https://townsvillewebdesign.com,"sales@abpages.com, support@abpages.com","sales@abpages.com, support@abpages.com",catch_all,,,new
2026-08-13,Wadline,https://wadline.com,"plegowebdesign@gmail.com, your@email.com, info@sisols.com, info@wadline.com, contact@company.com, contact@yourcompany.com, yuri.kitin@effective-soft.com, u003einfo@wadline.com",plegowebdesign@gmail.com,valid,,,emailed
2026-08-16,WeDesigns,https://wedesigns.com.au,info@oztasker.com,,unverified,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-25,Bold Agency,https://www.boldagency.com.au,info@boldagency.com.au,,invalid,,,new
2026-08-25,"DP Web Design, Professional Website Design Townsville.",https://www.dpwebdesign.com.au,danpoole@dpwebdesign.com.au,,invalid,773 4719,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-13,sitecentre®,https://www.sitecentre.com.au,"jonathan@sitecentre.com.au, hello@sitecentre.com.au, rana@sitecentre.com.au, alannah@sitecentre.com.au, deepanshu@sitecentre.com.au, support@sitecentre.com.au, mohit@sitecentre.com.au, brodey@sitecentre.com.au, lester@sitecentre.com.au, kristi@sitecentre.com.au, ji@sitecentre.com.au, ana@sitecentre.com.au","jonathan@sitecentre.com.au, hello@sitecentre.com.au, rana@sitecentre.com.au, alannah@sitecentre.com.au, deepanshu@sitecentre.com.au, support@sitecentre.com.au, mohit@sitecentre.com.au, brodey@sitecentre.com.au, lester@sitecentre.com.au, kristi@sitecentre.com.au, ji@sitecentre.com.au, ana@sitecentre.com.au",catch_all,,,emailed
2026-08-13,Yellow Pages® | Your Local Australian Business Directory,https://www.yellowpages.com.au,support@thryv.com,support@thryv.com,valid,,,emailed
