Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-15,Bureau Imago,https://bureauimago.nl,hallo@bureauimago.nl,,unverified,6814910,,new
2026-08-15,Defigners - UX & Digital Design Agency Utrecht,https://defigners.nl,hello@defigners.nl,,unverified,207 2009,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-15,Elevate Digital,https://elevatedigital.nl,info@elevatedigital.nl,info@elevatedigital.nl,catch_all,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-15,Vind de juiste dienstverleners voor uw projecten,https://feedbax.nl,"info@andersenlab.de, info@feedbax.de, info@feedbax.nl, kontakt@feedbax.de","info@andersenlab.de, info@feedbax.de, kontakt@feedbax.de, info@feedbax.nl",valid,,,new
2026-08-15,Froseo,https://froseo.nl,"info@froseo.nl, jij@bedrijf.nl",info@froseo.nl,catch_all,237 8053,,new
2026-08-15,iDesi Media | Creative Design & Branding Agency Utrecht,https://idesimedia.nl,info@idesimedia.nl,info@idesimedia.nl,valid,,,new
2026-08-13,Konigle,https://konigle.com,support@konigle.com,support@konigle.com,catch_all,2018153,,new
2026-08-15,Application & Software Development Company – Limeup,https://limeup.io,hello@limeup.io,hello@limeup.io,catch_all,807 8245,,new
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,new
2026-08-15,Lusion - Award Winning 3D and Interactive Web Studio,https://lusion.co,"hello@lusion.co, business@lusion.co","hello@lusion.co, business@lusion.co",valid,,,new
2026-08-15,AI Website Builder for Websites & Web Apps | Modulify,https://modulify.ai,you@company.com,,unverified,,,new
2026-08-15,Monthly Web Design,https://monthlywebdesign.com,"your@email.com, hello@monthlywebdesign.com",,unverified,7314908,,new
2026-08-15,New Marketing Agency,https://newmarketingagency.com,"info@newmarketingagency.com, naam@bedrijf.nl",info@newmarketingagency.com,valid,,,new
2026-08-14,Digital Storytelling & 3D Website Design Agency | Noomo,https://noomoagency.com,hello@noomoagency.com,hello@noomoagency.com,catch_all,,,new
2026-08-13,"Norobots - Verified people, real portfolios, and trustworthy reviews.",https://norobots.co,your@email.com,,unverified,,,new
2026-08-15,OMA,https://onlinemarketingagency.com,info@onlinemarketingagency.nl,info@onlinemarketingagency.nl,valid,8330185,,new
2026-08-15,Score Agency,https://scoreagency.nl,"info@scoreagency.nl, naam@bedrijf.nl",info@scoreagency.nl,valid,870 0020,,new
2026-08-15,App Studio,https://theappstudio.co,"theo@theappstudio.co, your@email.com",theo@theappstudio.co,catch_all,,,new
2026-08-15,The WebDesign,https://thewebdesign.nl,info@thewebdesign.nl,info@thewebdesign.nl,valid,,,new
2026-08-15,Trustoo - Vind de beste bedrijven voor jou,https://trustoo.nl,"klantenservice@trustoo.nl, info@trustoo.nl, naam@voorbeeld.nl","klantenservice@trustoo.nl, info@trustoo.nl",catch_all,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-15,WebWizr â Schnelle Websites mit Astro Â· SEO Â· Video Â· KI,https://webwizr.eu,"name@firma.de, info@webwizr.eu",name@firma.de,catch_all,,,new
2026-08-15,WW-Webdesign,https://ww-webdesign.com,"info@ww-webdesign.com, you@company.com",info@ww-webdesign.com,valid,,,new
2026-08-15,CSS Winner - Website Awards - Web Design Inspiration - CSS Awards,https://www.csswinner.com,contact@csswinner.com,contact@csswinner.com,catch_all,,,new
2026-08-13,Generator Website - AI-Powered Tools for Productivity,https://www.generatorwebsite.com,hello@generatorwebsite.com,,unverified,,,new
2026-08-15,Hostingradar,https://www.hostingradar.io,info@hostingradar.nl,,unverified,,,new
2026-08-15,Kleverish,https://www.kleverish.com,info@kleverish.com,,invalid,1 9328413256,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-15,Rimbo Designs | High-Impact Websites for Purpose-Driven Growth,https://www.rimbodesigns.com,hello@rimbodesigns.com,,unverified,,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,new
2026-08-15,"Sparkr - Marketing and Digital Studio, Utrecht",https://www.sparkr.co,"jane@company.com, hello@spakr.co",,unverified,,,new
2026-08-15,Top Interactive Agencies,https://www.topinteractiveagencies.com,global@topinteractiveagencies.com,global@topinteractiveagencies.com,catch_all,,,new
2026-08-15,Web Design Awards,https://www.webdesignawards.io,"you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io","you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io",catch_all,,,new
