Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,AeroLeads,https://aeroleads.com,"support@aeroleads.com, hello@aeroleads.com","support@aeroleads.com, hello@aeroleads.com",catch_all,+1 (628) 282 4380,,emailed
2026-09-07,Fahrenheit Digital,https://fahrenheit.co.nz,hello@fahrenheit.co.nz,,unverified,,,new
2026-09-07,PS/digital,https://psdigital.co.nz,"rich@psdigital.co.nz, richard@psdigital.co.nz, phoebe@psdigital.co.nz","richard@psdigital.co.nz, phoebe@psdigital.co.nz",valid,974 9198,,new
2026-09-07,Revibe Digital,https://revibedigital.co.nz,carslhorizontal-logo@3x.webp,,invalid,,,new
2026-09-07,rohe.nz,https://rohe.nz,"hello@sevenoways.com, hello@rohe.nz",hello@sevenoways.com,catch_all,,,new
2026-08-14,My Company,https://thewebcompany.digital,partners@thewebco.co.nz,partners@thewebco.co.nz,catch_all,,,emailed
2026-08-14,Ultimate Web Designs Limited,https://ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,info@ultimatewebdesigns.co.nz,valid,6421791,,emailed
2026-09-07,Websense Development,https://websensedevelopment.co.nz,info@websensedevelopment.co.nz,,invalid,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-20,"Catch Design | Digital Agency in Auckland & Wellington, NZ",https://www.catchdesign.co.nz,hello@catchdesign.co.nz,,unverified,390 2637,,new
2026-09-07,Somar Digital Agency Wellington NZ,https://www.somar.co.nz,hello@somar.co.nz,hello@somar.co.nz,catch_all,385 1075,,new
2026-09-07,"Springload Te Pipītanga – Digital agency – Wellington, New Zealand",https://www.springload.co.nz,hello@springload.co.nz,hello@springload.co.nz,valid,801 8205,,new
2026-09-07,Web Design Wellington | Professional Websites in 1 Week,https://www.timstewartwebdesign.co.nz,"jane@framer.com, tim@timstewartwebdesign.co.nz",tim@timstewartwebdesign.co.nz,catch_all,,,new
2026-08-20,Top Reviews New Zealand,https://www.topnzreview.com,support@topreviews.co.nz,,unverified,,,new
2026-09-07,Web Boutique,https://www.webboutique.co.nz,hello@webboutique.co.nz,,unverified,,,new
2026-09-07,Wonderlab,https://www.wonderlab.co.nz,hello@wonderlab.co.nz,hello@wonderlab.co.nz,catch_all,9429037251,,new
