Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-14,Discover The Perfect Marketing Agency for your Business | Agency Vista,https://agencyvista.com,yourfriends@agencyvista.com,yourfriends@agencyvista.com,catch_all,,,emailed
2026-08-23,Digital Ciphers Media,https://digitalciphers.com,info@digitalciphers.com,info@digitalciphers.com,valid,,,new
2026-08-22,Douglas Marketing Group,https://experiencedmg.com,info@experiencedmg.com,,invalid,519.258.1858,,new
2026-08-22,Mainstream Marketing,https://mainstreammarketing.ca,"info@mainstreammarketing.ca, mmseo2021@gmail.com",mmseo2021@gmail.com,valid,+1 (888) 770-4430,,new
2026-08-22,"Digital Marketing Agency Windsor - SEO Services in Essex County, ON",https://seobank.ca,"info@seobank.ca, %20info@seobank.ca",info@seobank.ca,valid,519-890-3979,,new
2026-08-13,TML Agency,https://townmedialabs.ca,"you@company.com, hello@townmedialabs.ca, info@townmedialabs.ca",,unverified,+1 (403) 604-8692,,new
2026-08-13,Moris Media,https://www.morismedia.in,"business@morismedia.com, support@morismedia.com, hr@morismedia.com, hello@morismedia.in, legal@morismedia.com","business@morismedia.com, support@morismedia.com, hr@morismedia.com, legal@morismedia.com, hello@morismedia.in",catch_all,,,emailed
2026-08-13,Moris | Doing PR & Digital Marketing the Right Way,https://www.morispr.com,jacksonscarlett@gmail.com,jacksonscarlett@gmail.com,valid,,,emailed
2026-08-22,YQG Digital - Windsor-Essex's Digital Marketing Experts,https://yqgdigital.ca,"tim@yqgdigital.com, tim@yqgdigital.ca",tim@yqgdigital.ca,catch_all,226-344-3685,,new
