Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Enests,https://enests.co,info@enests.co,,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-14,Feedbax: Die beste Agentur suchen & finden,https://feedbax.de,"info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de","info@andersenlab.de, kontakt@feedbax.de, info@feedbax.de",valid,,,emailed
2026-08-25,Pechschwarz,https://pechschwarz.com,hello@pechschwarz.com,hello@pechschwarz.com,valid,4920225,,new
2026-08-14,Finden Sie die besten Unternehmen in Deutschland - ThreeBestRated.de,https://threebestrated.de,"reviews@threebestrated.de, press@threebestrated.com, support@threebestrated.de","reviews@threebestrated.de, support@threebestrated.de, press@threebestrated.com",valid,,,emailed
2026-08-14,Trustlocal | Finden Sie die besten Dienstleister,https://trustlocal.de,"kundendienst@trustlocal.de, name@beispiel.de, klantenservice@trustoo.nl, info@trustlocal.de","kundendienst@trustlocal.de, info@trustlocal.de, klantenservice@trustoo.nl",catch_all,,,emailed
2026-08-24,Weis Digital,https://weis.digital,"dpo-google@google.com, mail@weis.digital",dpo-google@google.com,catch_all,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-24,Das Örtliche Telefonbuch | Telefonnummern & Adressen finden!,https://www.dasoertliche.de,n@def.omfcthkdbwca.bd,,invalid,,,new
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-08-24,magier - Your Graphic Design & Webflow Subscription,https://www.magier.com,hi@magier.com,hi@magier.com,catch_all,,,new
2026-08-24,msisdesign. Die Markenagentur,https://www.msisdesign.de,"info@msisdesign.de, projekte@msisdesign.de","info@msisdesign.de, projekte@msisdesign.de",valid,722 2984,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-08-25,Internetagentur pixalla®,https://www.pixalla.de,info@pixalla.de,info@pixalla.de,catch_all,,,new
2026-08-24,Schwarz+Matt,https://www.schwarz-matt.com,"koeln@schwarz-matt.com, andre.schirmer@schwarz-matt.com, info@schwarz-matt.com, dortmund@schwarz-matt.com, muenster@schwarz-matt.com",,invalid,231 1772,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-08-25,WZ-IT,https://wz-it.com,info@wz-it.com,info@wz-it.com,catch_all,922 8750681,,new
